variant	core_label	replicate	context_id	origin_group	partition	culture_volume_mL	duration_days	growth_time_series_available	assays_screened	flagged_assay_count	unresolved_assay_count	status	flagged_assays	in_human1_11_line_subset
all_reported_assays	UACC-257	1	ME:UACC-257	ME:UACC-257	test	35	4_or_5_not_resolved_per_culture	False	140	8	28	screen_positive	anthranilate; choline; glutamine; guanidinoacetate; niacin; phenylalanine; tryptophan; valine	False
calibrated_assays	UACC-257	1	ME:UACC-257	ME:UACC-257	test	35	4_or_5_not_resolved_per_culture	False	115	8	3	screen_positive	anthranilate; choline; glutamine; guanidinoacetate; niacin; phenylalanine; tryptophan; valine	False
all_reported_assays	UACC-257	2	ME:UACC-257	ME:UACC-257	test	35	4_or_5_not_resolved_per_culture	False	140	8	28	screen_positive	anthranilate; choline; glutamine; guanidinoacetate; niacin; phenylalanine; tryptophan; valine	False
calibrated_assays	UACC-257	2	ME:UACC-257	ME:UACC-257	test	35	4_or_5_not_resolved_per_culture	False	115	8	3	screen_positive	anthranilate; choline; glutamine; guanidinoacetate; niacin; phenylalanine; tryptophan; valine	False
all_reported_assays	OVCAR-8	1	OV:OVCAR-8	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	140	12	28	screen_positive	choline; cytidine; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; guanidinoacetate; hypoxanthine; niacin; niacinamide; serine; UDP-glucuronate; uracil	False
calibrated_assays	OVCAR-8	1	OV:OVCAR-8	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	115	12	3	screen_positive	choline; cytidine; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; guanidinoacetate; hypoxanthine; niacin; niacinamide; serine; UDP-glucuronate; uracil	False
all_reported_assays	OVCAR-8	2	OV:OVCAR-8	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	140	11	28	screen_positive	choline; cytidine; 2'-deoxycytidine; glutamine; guanidinoacetate; hypoxanthine; niacin; niacinamide; serine; UDP-glucuronate; uracil	False
calibrated_assays	OVCAR-8	2	OV:OVCAR-8	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	115	11	3	screen_positive	choline; cytidine; 2'-deoxycytidine; glutamine; guanidinoacetate; hypoxanthine; niacin; niacinamide; serine; UDP-glucuronate; uracil	False
all_reported_assays	OVCAR-5	1	OV:OVCAR-5	OV:OVCAR-5	test	35	4_or_5_not_resolved_per_culture	False	140	6	28	screen_positive	anthranilate; 2'-deoxyuridine; hypoxanthine; niacinamide; thymidine; UDP-glucuronate	False
calibrated_assays	OVCAR-5	1	OV:OVCAR-5	OV:OVCAR-5	test	35	4_or_5_not_resolved_per_culture	False	115	6	3	screen_positive	anthranilate; 2'-deoxyuridine; hypoxanthine; niacinamide; thymidine; UDP-glucuronate	False
all_reported_assays	OVCAR-5	2	OV:OVCAR-5	OV:OVCAR-5	test	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	anthranilate; 2'-deoxyuridine; hypoxanthine; niacin; niacinamide; thymidine; UDP-glucuronate	False
calibrated_assays	OVCAR-5	2	OV:OVCAR-5	OV:OVCAR-5	test	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	anthranilate; 2'-deoxyuridine; hypoxanthine; niacin; niacinamide; thymidine; UDP-glucuronate	False
all_reported_assays	SF-295	1	CNS:SF-295	CNS:SF-295	test	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; thymine; tryptophan; UDP-glucuronate; uracil	False
calibrated_assays	SF-295	1	CNS:SF-295	CNS:SF-295	test	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; thymine; tryptophan; UDP-glucuronate; uracil	False
all_reported_assays	SF-295	2	CNS:SF-295	CNS:SF-295	test	35	4_or_5_not_resolved_per_culture	False	140	6	28	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; tryptophan; UDP-glucuronate; uracil	False
calibrated_assays	SF-295	2	CNS:SF-295	CNS:SF-295	test	35	4_or_5_not_resolved_per_culture	False	115	6	3	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; tryptophan; UDP-glucuronate; uracil	False
all_reported_assays	A549/ATCC	1	LC:A549/ATCC	LC:A549/ATCC	test	35	4_or_5_not_resolved_per_culture	False	140	19	28	screen_positive	bilirubin; choline; dCMP; 2'-deoxycytidine; glutamine; guanidinoacetate; isoleucine; leucine; kynurenine; methionine; niacin; niacinamide; nicotinic acid mononucleotide; phenylalanine; serine; taurine; tryptophan; UDP-glucuronate; valine	False
calibrated_assays	A549/ATCC	1	LC:A549/ATCC	LC:A549/ATCC	test	35	4_or_5_not_resolved_per_culture	False	115	19	3	screen_positive	bilirubin; choline; dCMP; 2'-deoxycytidine; glutamine; guanidinoacetate; isoleucine; leucine; kynurenine; methionine; niacin; niacinamide; nicotinic acid mononucleotide; phenylalanine; serine; taurine; tryptophan; UDP-glucuronate; valine	False
all_reported_assays	A549/ATCC	2	LC:A549/ATCC	LC:A549/ATCC	test	35	4_or_5_not_resolved_per_culture	False	140	17	28	screen_positive	bilirubin; choline; 2'-deoxycytidine; glutamine; guanidinoacetate; isoleucine; leucine; kynurenine; methionine; niacinamide; phenylalanine; serine; taurine; tryptophan; UDP-glucuronate; valine; XMP	False
calibrated_assays	A549/ATCC	2	LC:A549/ATCC	LC:A549/ATCC	test	35	4_or_5_not_resolved_per_culture	False	115	17	3	screen_positive	bilirubin; choline; 2'-deoxycytidine; glutamine; guanidinoacetate; isoleucine; leucine; kynurenine; methionine; niacinamide; phenylalanine; serine; taurine; tryptophan; UDP-glucuronate; valine; XMP	False
all_reported_assays	RXF 393	1	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	140	5	28	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; niacinamide; UDP-glucuronate	False
calibrated_assays	RXF 393	1	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	115	5	3	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; niacinamide; UDP-glucuronate	False
all_reported_assays	RXF 393	2	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	140	6	28	screen_positive	2'-deoxyuridine; glutamine; glutathione oxidized; hypoxanthine; niacinamide; UDP-glucuronate	False
calibrated_assays	RXF 393	2	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	115	6	3	screen_positive	2'-deoxyuridine; glutamine; glutathione oxidized; hypoxanthine; niacinamide; UDP-glucuronate	False
all_reported_assays	CAKI-1	1	RE:CAKI-1	RE:CAKI-1	test	35	4_or_5_not_resolved_per_culture	False	140	11	28	screen_positive	anthranilate; choline; glutamine; IMP; niacinamide; serine; taurine; thymine; tryptophan; UDP-glucuronate; uracil	False
calibrated_assays	CAKI-1	1	RE:CAKI-1	RE:CAKI-1	test	35	4_or_5_not_resolved_per_culture	False	115	11	3	screen_positive	anthranilate; choline; glutamine; IMP; niacinamide; serine; taurine; thymine; tryptophan; UDP-glucuronate; uracil	False
