variant	core_label	context_id	origin_group	partition	replicate1_status	replicate2_status	both_replicates_screen_negative	status	in_human1_11_line_subset
all_reported_assays	UACC-257	ME:UACC-257	ME:UACC-257	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	OVCAR-8	OV:OVCAR-8	OVCAR-8_ADR-RES	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	OVCAR-5	OV:OVCAR-5	OV:OVCAR-5	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SF-295	CNS:SF-295	CNS:SF-295	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	A549/ATCC	LC:A549/ATCC	LC:A549/ATCC	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	RXF 393	RE:RXF 393	RE:RXF 393	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	CAKI-1	RE:CAKI-1	RE:CAKI-1	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	MDA-MB-435	ME:MDA-MB-435	M14_MDA-MB-435	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	EKVX	LC:EKVX	LC:EKVX	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	NCI-H23	LC:NCI-H23	LC:NCI-H23	excluded	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HCC-2998	CO:HCC-2998	CO:HCC-2998	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	NCI/ADR-RES	OV:NCI/ADR-RES	OVCAR-8_ADR-RES	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HT29	CO:HT29	CO:HT29	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	M14	ME:M14	M14_MDA-MB-435	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HCT-116	CO:HCT-116	CO:HCT-116	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HOP-62	LC:HOP-62	LC:HOP-62	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	786-O	RE:786-0	RE:786-0	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	NCI-H322M	LC:NCI-H322M	LC:NCI-H322M	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	BT-549	BR:BT-549	BR:BT-549	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	MALME-3M	ME:MALME-3M	ME:MALME-3M	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	TK-10	RE:TK-10	RE:TK-10	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	UO-31	RE:UO-31	RE:UO-31	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	T-47D	BR:T-47D	BR:T-47D	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	MCF7	BR:MCF7	BR:MCF7	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	NCI-H460	LC:NCI-H460	LC:NCI-H460	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SK-OV-3	OV:SK-OV-3	OV:SK-OV-3	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SK-MEL-5	ME:SK-MEL-5	ME:SK-MEL-5	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SNB-19	CNS:SNB-19	SNB-19_U251	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SF-539	CNS:SF-539	CNS:SF-539	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	COLO 205	CO:COLO 205	CO:COLO 205	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	KM12	CO:KM12	CO:KM12	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	OVCAR-3	OV:OVCAR-3	OV:OVCAR-3	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SF-268	CNS:SF-268	CNS:SF-268	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	DU-145	PR:DU-145	PR:DU-145	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HS 578T	BR:HS 578T	BR:HS 578T	development	unresolved	screen_positive	False	screen_positive	True
all_reported_assays	SW620	CO:SW-620	CO:SW-620	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SK-MEL-28	ME:SK-MEL-28	ME:SK-MEL-28	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	A498	RE:A498	RE:A498	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	IGROV1	OV:IGROV1	OV:IGROV1	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	MOLT-4	LE:MOLT-4	LE:MOLT-4	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	K562	LE:K-562	LE:K-562	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HOP-92	LC:HOP-92	LC:HOP-92	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	PC-3	PR:PC-3	PR:PC-3	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HL-60(TB)	LE:HL-60(TB)	LE:HL-60(TB)	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	MDA-MB-468	BR:MDA-MB-468	BR:MDA-MB-468	excluded	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SK-MEL-2	ME:SK-MEL-2	ME:SK-MEL-2	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	NCI-H522	LC:NCI-H522	LC:NCI-H522	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	HCT-15	CO:HCT-15	CO:HCT-15	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	ACHN	RE:ACHN	RE:ACHN	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	U251	CNS:U251	SNB-19_U251	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	LOX IMVI	ME:LOX IMVI	ME:LOX IMVI	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SNB-75	CNS:SNB-75	CNS:SNB-75	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	OVCAR-4	OV:OVCAR-4	OV:OVCAR-4	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	NCI-H226	LC:NCI-H226	LC:NCI-H226	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	UACC-62	ME:UACC-62	ME:UACC-62	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	SN12C	RE:SN12C	RE:SN12C	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	MDA-MB-231/ATCC	BR:MDA-MB-231	BR:MDA-MB-231	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	CCRF-CEM	LE:CCRF-CEM	LE:CCRF-CEM	test	screen_positive	screen_positive	False	screen_positive	False
all_reported_assays	RPMI 8226	LE:RPMI-8226	LE:RPMI-8226	development	screen_positive	screen_positive	False	screen_positive	True
all_reported_assays	SR	LE:SR	LE:SR	development	screen_positive	screen_positive	False	screen_positive	True
calibrated_assays	UACC-257	ME:UACC-257	ME:UACC-257	test	screen_positive	screen_positive	False	screen_positive	False
calibrated_assays	OVCAR-8	OV:OVCAR-8	OVCAR-8_ADR-RES	test	screen_positive	screen_positive	False	screen_positive	False
calibrated_assays	OVCAR-5	OV:OVCAR-5	OV:OVCAR-5	test	screen_positive	screen_positive	False	screen_positive	False
calibrated_assays	SF-295	CNS:SF-295	CNS:SF-295	test	screen_positive	screen_positive	False	screen_positive	False
