scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g0.80	0.1525897238635218	0.0657846576863533	105	8	7.771061464142959	2.6287705907057592
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g1.00	0.21241692683277608	0.10596492682145559	112	8	7.771061464142959	3.2325034393417766
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g1.25	0.21688918249508507	0.10596495039832711	118	8	7.771061464142959	3.232511934890127
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g2.00	0.2833610769427658	0.20500609791221494	135	9	7.44986331962508	6.085855025469989
half_serum	BR:BT-549	magnitude_g0.50	ordinal	0.6348789373421653	0.32697968479006884	230	11	16.66003401803967	8.168009879844622
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g1.00	0.13808788094057325	0.05493495105322755	76	5	7.299633037611065	1.193119935191696
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g1.25	0.13808809393908084	0.054934975341279224	78	5	7.299613288920617	1.1931203763040754
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g2.00	0.18803460140282177	0.1569668389519613	97	6	7.452704408572191	3.45708443476423
half_serum	BR:BT-549	magnitude_g0.80	ordinal	0.6015016516301543	0.3515458034995126	222	11	16.107375032331824	7.295533483751194
half_serum	BR:BT-549	magnitude_g1.00	magnitude_g1.25	0.00451234146460904	2.7949389926564444e-07	40	2	0.4262018684962454	8.495548350140325e-06
half_serum	BR:BT-549	magnitude_g1.00	magnitude_g2.00	0.1491117888287871	0.11470163162846302	97	6	7.44986331962508	2.8533515861282126
half_serum	BR:BT-549	magnitude_g1.00	ordinal	0.5814956760188952	0.3487947520730001	225	11	15.874826796757919	7.075149269835276
half_serum	BR:BT-549	magnitude_g1.25	magnitude_g2.00	0.1481899633467794	0.11470135226551155	86	6	7.44986331962508	2.8533430905798625
half_serum	BR:BT-549	magnitude_g1.25	ordinal	0.579019959931482	0.3487949991773413	225	11	15.87480947957231	7.075157765383626
half_serum	BR:BT-549	magnitude_g2.00	ordinal	0.5997526164344715	0.41163008799105827	230	11	11.506944336144404	9.928500855963488
half_serum	BR:MCF7	magnitude_g0.50	magnitude_g0.80	0.08755521953920307	0.050788493978476165	93	6	2.0606102416417853	0.8133547422086167
half_serum	BR:MCF7	magnitude_g0.50	magnitude_g1.00	0.08185907772537455	0.05582919825680852	115	9	2.0606102416417853	0.8723878791206339
half_serum	BR:MCF7	magnitude_g0.50	magnitude_g1.25	0.15743665528195733	0.09146286384062328	121	10	5.578106375859625	1.8219853404895066
half_serum	BR:MCF7	magnitude_g0.50	magnitude_g2.00	0.2018402829041723	0.17601219881668953	134	10	6.198770637660681	3.179872022480989
half_serum	BR:MCF7	magnitude_g0.50	ordinal	0.5323885013287696	0.33439041719676316	172	11	12.233040964889685	10.396633433908395
half_serum	BR:MCF7	magnitude_g0.80	magnitude_g1.00	0.0269740243624531	0.008822335662225978	105	8	1.5058581770481725	0.24354013039043054
