arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
magnitude_g1.00	EX_4abut_e	11	0.0	179.01124760682066	179.01124760682066	True	2.762402651363641e-07	3.8859893558602517e-07	7.767137786902932e-08	4.338910482296974e-10	True	True	7.2787200922007716e-09	2.50220331587293e-08	1.209019877662503e-08	6.753876607340271e-11	True	True
magnitude_g1.00	EX_L2aadp_e	11	0.0	10.926076398774978	10.926076398774978	True	9.410016767016404e-08	9.991289697519034e-08	6.7600761350171445e-09	6.187103117616016e-10	True	True	2.344346880493407e-09	8.676746299360825e-09	4.2007213908282706e-09	3.844675103406061e-10	True	True
magnitude_g1.00	EX_Lkynr_e	11	0.0	8.61390890897742	8.61390890897742	True	4.012821709884789e-08	4.71475272731557e-08	7.654061085918132e-09	8.88570005417757e-10	True	True	9.237572949286611e-10	3.0219337429677886e-09	1.4536520596080414e-09	1.6875637703726406e-10	True	True
magnitude_g1.00	EX_ala__L_e	11	0.0	161.4259027078193	161.4259027078193	True	1.4841580698966471e-05	7.678237769681573e-05	1.2347858735744328	0.007649242487492196	False	False	3.238997417750769e-07	1.3320905072333744e-06	1.2347946580637696	0.007649296905582412	True	False
magnitude_g1.00	EX_anth_e	11	0.0	8.613908908977418	8.613908908977418	True	3.551223876288143e-08	4.106682549124396e-08	6.05100908600673e-09	7.024695930671343e-10	True	True	8.188142970901403e-10	2.718701143183452e-09	1.3104909141726791e-09	1.5213661161506888e-10	True	True
magnitude_g1.00	EX_cala_e	11	0.0	16.576892935525144	16.576892935525144	True	2.022754655145121e-08	2.1336988323100348e-08	1.3637598337730542e-09	8.226872424629382e-11	True	True	4.917002934726802e-10	1.665562112233667e-09	8.03679227433345e-10	4.8481897696945284e-11	True	True
magnitude_g1.00	EX_chol_e	11	-10.0	5.802857235090938	15.802857235090938	True	1.1057606005383425e-06	1.3264957612335593e-06	2.0641198128501514e-07	1.3061687403380971e-08	True	True	2.6164963165794832e-08	8.62230868925451e-08	3.382328017664804e-08	2.1403268835171124e-09	True	True
magnitude_g1.00	EX_cholp_e	11	0.0	6.071678091942405	6.071678091942405	True	5.269828863304398e-08	5.457464943665285e-08	2.207986738275966e-09	3.6365345870462703e-10	True	True	1.2781264186538107e-09	4.390588061028374e-09	2.1179820698346463e-09	3.488297695896255e-10	True	True
magnitude_g1.00	EX_cit_e	11	0.0	62.319508811365594	62.319508811365594	True	1.4099587326525163e-06	1.8430311694630658e-06	4.892344476026915e-07	7.850422073825247e-09	True	True	2.722825161713722e-08	7.308556263238932e-08	3.49925455442836e-08	5.615022680971739e-10	True	True
magnitude_g1.00	EX_cmp_e	11	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	2.1271809927350744e-10	5.33900326215633e-10	2.669501631078165e-10	nan	True	True
