arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
magnitude_g0.50	EX_4abut_e	47	0.0	179.01124760682112	179.01124760682112	True	2.4851144375251766e-07	3.226916646615376e-07	6.38316821327891e-08	3.565791702261553e-10	True	True	1.0204242694482716e-08	3.6982908249150266e-08	1.8383286625564558e-08	1.0269347245677804e-10	True	True
magnitude_g0.50	EX_L2aadp_e	47	0.0	10.92607639877498	10.92607639877498	True	9.336775557171091e-08	1.0348617079746617e-07	8.753709634659245e-09	8.011759496428839e-10	True	True	3.6436394388103336e-09	1.2608856467811183e-08	6.258442295226842e-09	5.727986943170681e-10	True	True
magnitude_g0.50	EX_Lkynr_e	47	0.0	8.61390890897742	8.61390890897742	True	4.3651783708287276e-08	5.9190503941043295e-08	1.1679648049755976e-08	1.355905683839243e-09	True	True	1.5399178962431532e-09	5.124607644021492e-09	2.5367998711981854e-09	2.9450042924813513e-10	True	True
magnitude_g0.50	EX_ala__L_e	47	0.0	161.42590270782023	161.42590270782023	True	3.040918144998817e-05	0.0008549544277141052	0.8407418939248217	0.005208221727875722	False	False	4.2998802895571304e-07	3.265837165145058e-06	0.8407355050571894	0.005208182150165298	True	False
magnitude_g0.50	EX_anth_e	47	0.0	8.613908908977407	8.613908908977407	True	3.814307863948859e-08	4.913041855506852e-08	8.621953406518174e-09	1.000933896286317e-09	True	True	1.3537943411286816e-09	4.477744540099826e-09	2.2173579355574104e-09	2.5741599533824674e-10	True	True
magnitude_g0.50	EX_cala_e	47	0.0	16.576892935525013	16.576892935525013	True	2.0543123892825722e-08	2.276649278343848e-08	1.8206999509705688e-09	1.0983360742281977e-10	True	True	7.757845690803717e-10	2.5167798152055752e-09	1.24654968333433e-09	7.519802946081162e-11	True	True
magnitude_g0.50	EX_chol_e	47	-10.0	5.802857235091036	15.802857235091036	True	1.0170081369677788e-06	1.4958329961345385e-06	2.6867440805489196e-07	1.700163483463528e-08	True	True	3.734893645421174e-08	1.442206474244756e-07	5.693590221511613e-08	3.6028865772885113e-09	True	True
magnitude_g0.50	EX_cholp_e	47	0.0	6.071678091942436	6.071678091942436	True	5.279290608871125e-08	5.683657204224413e-08	3.1469692101311577e-09	5.183030395348886e-10	True	True	2.002906290452929e-09	6.80267969638394e-09	3.374782191144515e-09	5.558236355815865e-10	True	True
magnitude_g0.50	EX_cit_e	47	0.0	62.319508811365665	62.319508811365665	True	4.889987596076237e-06	6.584750479840869e-05	3.2396750809701316e-05	5.198492643413275e-07	False	False	5.9471960468360845e-08	1.8609659551384035e-07	9.199846112235963e-08	1.4762385467579487e-09	True	True
magnitude_g0.50	EX_cmp_e	47	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	2.1792501251117746e-10	7.337912506978845e-10	3.6689562534894226e-10	nan	True	True
magnitude_g0.50	EX_crn_e	47	-1.0	6.661338147750939e-16	1.0000000000000007	True	1.49269742981153e-06	1.6191853007693354e-05	7.815241543593824e-06	7.815241543593819e-06	False	True	1.0673330851466558e-07	1.642570882196624e-06	8.208980883026289e-07	8.208980883026284e-07	True	True
magnitude_g0.50	EX_cytd_e	47	0.0	10.811017131864224	10.811017131864224	True	1.2250833332617505e-08	1.3281368049747854e-08	8.981982549320763e-10	8.308175299109838e-11	True	True	4.697416848853764e-10	1.5524879424769138e-09	7.693915286378654e-10	7.116735819150381e-11	True	True
magnitude_g0.50	EX_dhap_e	47	0.0	6.071678091942525	6.071678091942525	True	3.42284848745098e-08	3.6972740835686325e-08	2.1454711521954275e-09	3.5335719708898836e-10	True	True	1.3025327367921268e-09	4.471338812065734e-09	2.2183439269232988e-09	3.6535927849455193e-10	True	True
magnitude_g0.50	EX_duri_e	47	0.0	10.811017131864164	10.811017131864164	True	1.2390354833070909e-08	1.3491246726867899e-08	9.415116100526475e-10	8.708816187865026e-11	True	True	4.724619153214017e-10	1.5716474721352424e-09	7.78997543773727e-10	7.205589763406498e-11	True	True
magnitude_g0.50	EX_fum_e	47	0.0	75.07460134290349	75.07460134290349	True	5.285343795207459e-05	0.0012928073366786919	3.6892026665301216	0.049140489600200156	False	False	6.061844348467498e-07	2.928574874161427e-06	3.6891303288976403	0.04913952605685543	True	False
magnitude_g0.50	EX_glcur_e	47	0.0	18.283735368672975	18.283735368672975	True	4.190336076482591e-08	5.5708116283999555e-08	1.0589951082353518e-08	5.792006320818967e-10	True	True	1.561300473039689e-09	4.971072918363994e-09	2.462451315801992e-09	1.3467988166253553e-10	True	True
magnitude_g0.50	EX_gln__L_e	47	-10.0	31.44223233881349	41.44223233881349	True	1.135197168002591e-06	1.9616112929554674e-06	6.58146367626955e-07	1.5881054916304687e-08	True	True	3.9655212031344165e-08	1.3795758846413264e-07	6.846808453531139e-08	1.6521331181087545e-09	True	True
magnitude_g0.50	EX_glu__L_e	47	-10.0	65.0746013429071	75.0746013429071	True	6.446870131071591e-07	7.591219493008339e-07	1.2333823740107164e-07	1.6428756889126577e-09	True	True	2.5171575462299517e-08	9.271631107310441e-08	4.603545278314414e-08	6.131961004078442e-10	True	True
magnitude_g0.50	EX_gly_e	47	-10.0	136.67340860229515	146.67340860229515	True	5.3820029160509636e-05	0.0017099087699303794	1.6814455130810773	0.011463874257128063	False	False	6.439400590435455e-07	9.45349291736619e-06	1.6814389536622656	0.011463829535873719	True	False
magnitude_g0.50	EX_glyald_e	47	0.0	58.4051322937533	58.4051322937533	True	8.155822061747028e-08	8.936626977883952e-08	6.179465990456058e-09	1.058034756153952e-10	True	True	3.1078371048814933e-09	1.0488563509480038e-08	5.1948065469695385e-09	8.894435031568531e-11	True	True
magnitude_g0.50	EX_glyc3p_e	47	0.0	6.071678091942356	6.071678091942356	True	3.31493812252281e-08	3.573499813771384e-08	2.0091087630375765e-09	3.308984324619973e-10	True	True	1.2720072021801058e-09	4.351100600225841e-09	2.15760345664647e-09	3.55355376878395e-10	True	True
magnitude_g0.50	EX_hom__L_e	47	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	0.0	0.0	2.7047629485004465e-27	nan	True	True
magnitude_g0.50	EX_hxan_e	47	0.0	9.751113491485459	9.751113491485459	True	9.315903746985313e-09	1.0130113112397232e-08	6.60524049031612e-10	6.77383203065345e-11	True	True	3.6750930357849695e-10	1.202985936978937e-09	5.966107353996224e-10	6.1183857199547e-11	True	True
magnitude_g0.50	EX_icit_e	47	0.0	62.31950881136552	62.31950881136552	True	6.690399789130378e-07	1.5227396862203933e-06	5.265269523825331e-07	8.44883026880513e-09	True	True	2.3342381736695948e-08	8.41099790325183e-08	4.176484944892048e-08	6.701729561980054e-10	True	True
magnitude_g0.50	EX_ins_e	47	0.0	7.422489374115665	7.422489374115665	True	7.043125638836287e-09	7.658065028905149e-09	4.946846806545364e-10	6.664673477063407e-11	True	True	2.6896540041752736e-10	9.106521598381647e-10	4.517073623970858e-10	6.085658592820868e-11	True	True
magnitude_g0.50	EX_lac__L_e	47	-1.0	108.03961591890912	109.03961591890912	True	3.822914996098408e-05	0.0004436843217323627	3.2282507440263757	0.02960621895832034	False	False	9.186058220283475e-07	4.994161622917659e-06	3.2282306233881606	0.029606034432374927	True	False
magnitude_g0.50	EX_leu__L_e	47	-10.0	-1.7922337326704483	8.207766267329552	True	1.4325340113006927e-06	2.415841878544711e-06	7.343581476249028e-07	8.947113303505789e-08	True	True	4.552209649894828e-08	1.6370389976927413e-07	8.110258087334898e-08	9.881200101442e-09	True	True
magnitude_g0.50	EX_lys__L_e	47	-10.0	-1.9452265708841594	8.05477342911584	True	0.012398162784494139	0.5810370823337356	0.580760529915898	0.07210141104858453	False	False	0.012370318787457573	0.5804869193596742	0.5804866175967578	0.07206740483828566	False	False
magnitude_g0.50	EX_mal__L_e	47	0.0	69.54957388179446	69.54957388179446	True	1.1802964287003424e-06	1.6162686772358456e-06	3.291241096520615e-07	4.7322232370745575e-09	True	True	4.823807895682754e-08	2.0164014147540823e-07	1.0029265490288089e-07	1.4420311916409e-09	True	True
magnitude_g0.50	EX_met__L_e	47	-10.0	-0.5026982632120784	9.497301736787922	True	0.00015599354445149536	0.00384733339623633	6.5260697400505725	0.6871498790832091	False	False	1.1357202253470728e-06	1.0103170867914457e-05	6.526079564662012	0.6871509135466506	False	False
magnitude_g0.50	EX_nac_e	47	0.0	12.871302969659121	12.871302969659121	True	1.5642305436624956e-07	1.7302838055622225e-07	1.4618304973778057e-08	1.135728450199413e-09	True	True	5.969355973434875e-09	1.9673738645182055e-08	9.757525034097953e-09	7.580837042760068e-10	True	True
magnitude_g0.50	EX_ncam_e	47	-10.0	0.0	10.0	True	1.0772722778992834e-06	1.0942235936401131e-06	2.1379358778126073e-08	2.1379358778126073e-09	True	True	3.833267753264582e-08	1.2207387512873544e-07	6.05172201696599e-08	6.05172201696599e-09	True	True
magnitude_g0.50	EX_orn_e	47	0.0	75.0746013429061	75.0746013429061	True	5.350517097923609e-07	7.719874549558142e-07	2.162776727682079e-07	2.880836779676676e-09	True	True	2.2614148260363493e-08	7.938187998993041e-08	3.950468929382367e-08	5.262057818114078e-10	True	True
magnitude_g0.50	EX_orot_e	47	0.0	16.576892935525226	16.576892935525226	True	2.4886377667471538e-08	2.6997815920246096e-08	1.8447808175813043e-09	1.1128628415207014e-10	True	True	9.31668866007916e-10	3.1303145624947595e-09	1.5520747561531675e-09	9.362880982521055e-11	True	True
magnitude_g0.50	EX_phe__L_e	47	-10.0	-0.8524036882104298	9.14759631178957	True	7.5690088664788875e-06	7.814319943899584e-05	2.4473433872827357	0.2675395047908443	False	False	9.038358539381619e-08	3.7966167676373175e-07	2.447340522667242	0.26753919163584755	True	False
