context_id	metabolite_id	replicate	value	unit	core_label	source_excel_row	calibrated	historical_variable
ME:UACC-257	core_001	1	0.0108912255331617	fmol/cell/h	UACC-257	2	True	True
ME:UACC-257	core_001	2	0.0123127550093927	fmol/cell/h	UACC-257	2	True	True
OV:OVCAR-8	core_001	1	0.00167059698313269	fmol/cell/h	OVCAR-8	2	True	True
OV:OVCAR-8	core_001	2	0.00203734677309102	fmol/cell/h	OVCAR-8	2	True	True
OV:OVCAR-5	core_001	1	0.00449461577379212	fmol/cell/h	OVCAR-5	2	True	True
OV:OVCAR-5	core_001	2	0.00317770365739365	fmol/cell/h	OVCAR-5	2	True	True
CNS:SF-295	core_001	1	0.0463931112806635	fmol/cell/h	SF-295	2	True	True
CNS:SF-295	core_001	2	0.0417080490439913	fmol/cell/h	SF-295	2	True	True
LC:A549/ATCC	core_001	1	0.00137402448039079	fmol/cell/h	A549/ATCC	2	True	True
LC:A549/ATCC	core_001	2	0.0014239381712982599	fmol/cell/h	A549/ATCC	2	True	True
RE:RXF 393	core_001	1	0.0329152536120378	fmol/cell/h	RXF 393	2	True	True
RE:RXF 393	core_001	2	0.0333879401783433	fmol/cell/h	RXF 393	2	True	True
RE:CAKI-1	core_001	1	0.00931010188504031	fmol/cell/h	CAKI-1	2	True	True
RE:CAKI-1	core_001	2	0.00606444968006729	fmol/cell/h	CAKI-1	2	True	True
ME:MDA-MB-435	core_001	1	0.0229173073314463	fmol/cell/h	MDA-MB-435	2	True	True
ME:MDA-MB-435	core_001	2	0.0188944364581671	fmol/cell/h	MDA-MB-435	2	True	True
LC:EKVX	core_001	1	0.00930766324457462	fmol/cell/h	EKVX	2	True	True
LC:EKVX	core_001	2	0.00884553577171163	fmol/cell/h	EKVX	2	True	True
LC:NCI-H23	core_001	1	0.00688395663383013	fmol/cell/h	NCI-H23	2	True	True
LC:NCI-H23	core_001	2	0.0102583860400209	fmol/cell/h	NCI-H23	2	True	True
CO:HCC-2998	core_001	1	0.0444324273429781	fmol/cell/h	HCC-2998	2	True	True
CO:HCC-2998	core_001	2	0.0459550602838691	fmol/cell/h	HCC-2998	2	True	True
OV:NCI/ADR-RES	core_001	1	0.000970055723808734	fmol/cell/h	NCI/ADR-RES	2	True	True
OV:NCI/ADR-RES	core_001	2	0.000665572897204808	fmol/cell/h	NCI/ADR-RES	2	True	True
CO:HT29	core_001	1	0.00111319275342583	fmol/cell/h	HT29	2	True	True
CO:HT29	core_001	2	-0.00176334328550362	fmol/cell/h	HT29	2	True	True
ME:M14	core_001	1	0.0106187901492828	fmol/cell/h	M14	2	True	True
ME:M14	core_001	2	0.00730032016719861	fmol/cell/h	M14	2	True	True
CO:HCT-116	core_001	1	0.00123501832938538	fmol/cell/h	HCT-116	2	True	True
CO:HCT-116	core_001	2	0.00126913925455584	fmol/cell/h	HCT-116	2	True	True
LC:HOP-62	core_001	1	0.00191221490343452	fmol/cell/h	HOP-62	2	True	True
LC:HOP-62	core_001	2	0.000414109927588064	fmol/cell/h	HOP-62	2	True	True
RE:786-0	core_001	1	0.00073040938404838	fmol/cell/h	786-O	2	True	True
RE:786-0	core_001	2	-0.000418720838218995	fmol/cell/h	786-O	2	True	True
LC:NCI-H322M	core_001	1	0.0250304552862851	fmol/cell/h	NCI-H322M	2	True	True
LC:NCI-H322M	core_001	2	0.0203168946239691	fmol/cell/h	NCI-H322M	2	True	True
BR:BT-549	core_001	1	0.020158110582631	fmol/cell/h	BT-549	2	True	True
BR:BT-549	core_001	2	0.0126948070115255	fmol/cell/h	BT-549	2	True	True
ME:MALME-3M	core_001	1	0.00361705353082409	fmol/cell/h	MALME-3M	2	True	True
ME:MALME-3M	core_001	2	0.00194944618882201	fmol/cell/h	MALME-3M	2	True	True
RE:TK-10	core_001	1	0.00110213965733331	fmol/cell/h	TK-10	2	True	True
RE:TK-10	core_001	2	0.000522896778810182	fmol/cell/h	TK-10	2	True	True
RE:UO-31	core_001	1	0.00349959027959791	fmol/cell/h	UO-31	2	True	True
RE:UO-31	core_001	2	0.00283745383456382	fmol/cell/h	UO-31	2	True	True
BR:T-47D	core_001	1	0.00153481394278013	fmol/cell/h	T-47D	2	True	True
BR:T-47D	core_001	2	-0.000137762795069975	fmol/cell/h	T-47D	2	True	True
BR:MCF7	core_001	1	0.000747450496756932	fmol/cell/h	MCF7	2	True	True
BR:MCF7	core_001	2	0.000154294657766444	fmol/cell/h	MCF7	2	True	True
LC:NCI-H460	core_001	1	0.00733638662140334	fmol/cell/h	NCI-H460	2	True	True
LC:NCI-H460	core_001	2	0.0119489990320988	fmol/cell/h	NCI-H460	2	True	True
OV:SK-OV-3	core_001	1	-0.000364066048096957	fmol/cell/h	SK-OV-3	2	True	True
OV:SK-OV-3	core_001	2	0.00030984316956942	fmol/cell/h	SK-OV-3	2	True	True
ME:SK-MEL-5	core_001	1	0.0326205018756862	fmol/cell/h	SK-MEL-5	2	True	True
ME:SK-MEL-5	core_001	2	0.0321253702019752	fmol/cell/h	SK-MEL-5	2	True	True
CNS:SNB-19	core_001	1	0.0212450295484472	fmol/cell/h	SNB-19	2	True	True
CNS:SNB-19	core_001	2	0.00434142815640978	fmol/cell/h	SNB-19	2	True	True
CNS:SF-539	core_001	1	0.0084485727728764	fmol/cell/h	SF-539	2	True	True
CNS:SF-539	core_001	2	0.00762490199022655	fmol/cell/h	SF-539	2	True	True
CO:COLO 205	core_001	1	0.0133583237072594	fmol/cell/h	COLO 205	2	True	True
CO:COLO 205	core_001	2	0.0115298550855475	fmol/cell/h	COLO 205	2	True	True
CO:KM12	core_001	1	0.00152294054435214	fmol/cell/h	KM12	2	True	True
CO:KM12	core_001	2	0.00191848221118228	fmol/cell/h	KM12	2	True	True
OV:OVCAR-3	core_001	1	0.00364078930188597	fmol/cell/h	OVCAR-3	2	True	True
OV:OVCAR-3	core_001	2	0.00248127071387455	fmol/cell/h	OVCAR-3	2	True	True
CNS:SF-268	core_001	1	0.0014052425840439	fmol/cell/h	SF-268	2	True	True
CNS:SF-268	core_001	2	0.00179602047796709	fmol/cell/h	SF-268	2	True	True
PR:DU-145	core_001	1	0.00594987266860379	fmol/cell/h	DU-145	2	True	True
PR:DU-145	core_001	2	0.0065082433168277	fmol/cell/h	DU-145	2	True	True
BR:HS 578T	core_001	1	0.0171412759602696	fmol/cell/h	HS 578T	2	True	True
BR:HS 578T	core_001	2	0.0216735879352778	fmol/cell/h	HS 578T	2	True	True
CO:SW-620	core_001	1	0.00473669621323347	fmol/cell/h	SW620	2	True	True
CO:SW-620	core_001	2	0.00485125510596018	fmol/cell/h	SW620	2	True	True
ME:SK-MEL-28	core_001	1	0.0101109319280602	fmol/cell/h	SK-MEL-28	2	True	True
ME:SK-MEL-28	core_001	2	0.00332340935323413	fmol/cell/h	SK-MEL-28	2	True	True
RE:A498	core_001	1	0.00659617103680499	fmol/cell/h	A498	2	True	True
RE:A498	core_001	2	0.00903407786469064	fmol/cell/h	A498	2	True	True
OV:IGROV1	core_001	1	0.00402376008504495	fmol/cell/h	IGROV1	2	True	True
OV:IGROV1	core_001	2	0.00423778953299162	fmol/cell/h	IGROV1	2	True	True
LE:MOLT-4	core_001	1	0.000577642076848608	fmol/cell/h	MOLT-4	2	True	True
LE:MOLT-4	core_001	2	0.00135077093833264	fmol/cell/h	MOLT-4	2	True	True
LE:K-562	core_001	1	0.00904602906494777	fmol/cell/h	K562	2	True	True
LE:K-562	core_001	2	0.0108849887644208	fmol/cell/h	K562	2	True	True
LC:HOP-92	core_001	1	0.0125186530739606	fmol/cell/h	HOP-92	2	True	True
LC:HOP-92	core_001	2	0.00867562494119372	fmol/cell/h	HOP-92	2	True	True
