panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	magnitude_g0.50	core_006	952	0.5	0.5
primary	magnitude_g0.50	core_016	1000	0.4925	0.4925
primary	magnitude_g0.50	core_018	1023	0.5	0.5
primary	magnitude_g0.50	core_024	923	0.5	0.5
primary	magnitude_g0.50	core_026	957	0.5	0.5
primary	magnitude_g0.50	core_027	971	0.5	0.5
primary	magnitude_g0.50	core_028	960	0.5	0.5
primary	magnitude_g0.50	core_030	957	0.5	0.5
primary	magnitude_g0.50	core_032	950	0.5	0.5
primary	magnitude_g0.50	core_035	920	0.5	0.5
primary	magnitude_g0.50	core_039	984	0.5	0.5
primary	magnitude_g0.50	core_041	939	0.5	0.5
primary	magnitude_g0.50	core_044	918	0.6127450980392157	0.6127450980392157
primary	magnitude_g0.50	core_049	748	0.5	0.5
primary	magnitude_g0.50	core_050	1027	0.5	0.5
primary	magnitude_g0.50	core_051	919	0.5	0.5
primary	magnitude_g0.50	core_052	818	0.5812958435207825	0.5812958435207825
primary	magnitude_g0.50	core_053	898	0.5	0.5
primary	magnitude_g0.50	core_056	797	0.5	0.5
primary	magnitude_g0.50	core_062	940	0.5	0.5
primary	magnitude_g0.50	core_063	1026	0.5	0.5
primary	magnitude_g0.50	core_064	691	0.5	0.5
primary	magnitude_g0.50	core_067	869	0.5	0.5
primary	magnitude_g0.50	core_069	753	0.5	0.5
primary	magnitude_g0.50	core_070	909	0.5907590759075908	0.5907590759075908
primary	magnitude_g0.50	core_072	847	0.5	0.5
primary	magnitude_g0.50	core_073	924	0.5	0.5
primary	magnitude_g0.50	core_074	849	0.5276796230859835	0.5276796230859835
primary	magnitude_g0.50	core_075	1025	0.5	0.5
primary	magnitude_g0.50	core_076	885	0.5655367231638418	0.5672316384180791
primary	magnitude_g0.50	core_077	642	0.5	0.5
primary	magnitude_g0.50	core_078	911	0.5	0.5
primary	magnitude_g0.50	core_080	870	0.5	0.5
primary	magnitude_g0.50	core_081	988	0.5	0.5
primary	magnitude_g0.50	core_085	863	0.5144843568945539	0.5144843568945539
primary	magnitude_g0.50	core_088	713	0.5	0.5
primary	magnitude_g0.50	core_091	779	0.5	0.5
primary	magnitude_g0.50	core_092	1024	0.5	0.5
primary	magnitude_g0.50	core_094	935	0.5	0.5
primary	magnitude_g0.50	core_095	913	0.5	0.5
primary	magnitude_g0.50	core_096	920	0.5565217391304348	0.5565217391304348
primary	magnitude_g0.50	core_098	880	0.5	0.5
