metabolite_id	exchange_id	context_i	context_j	origin_i	origin_j	truth
core_001	EX_2pg_e	BR:HS 578T	BR:MDA-MB-231	BR:HS 578T	BR:MDA-MB-231	1
core_001	EX_2pg_e	BR:HS 578T	CO:HT29	BR:HS 578T	CO:HT29	1
core_001	EX_2pg_e	BR:HS 578T	LC:HOP-62	BR:HS 578T	LC:HOP-62	1
core_001	EX_2pg_e	BR:HS 578T	LC:HOP-92	BR:HS 578T	LC:HOP-92	1
core_001	EX_2pg_e	BR:HS 578T	LC:NCI-H226	BR:HS 578T	LC:NCI-H226	1
core_001	EX_2pg_e	BR:HS 578T	LE:RPMI-8226	BR:HS 578T	LE:RPMI-8226	1
core_001	EX_2pg_e	BR:HS 578T	LE:SR	BR:HS 578T	LE:SR	1
core_001	EX_2pg_e	BR:HS 578T	ME:MALME-3M	BR:HS 578T	ME:MALME-3M	1
core_001	EX_2pg_e	BR:HS 578T	RE:786-0	BR:HS 578T	RE:786-0	1
core_001	EX_2pg_e	BR:HS 578T	RE:UO-31	BR:HS 578T	RE:UO-31	1
core_001	EX_2pg_e	BR:MDA-MB-231	CO:HT29	BR:MDA-MB-231	CO:HT29	1
core_001	EX_2pg_e	BR:MDA-MB-231	LC:HOP-92	BR:MDA-MB-231	LC:HOP-92	-1
core_001	EX_2pg_e	CO:HT29	LC:HOP-92	CO:HT29	LC:HOP-92	-1
core_001	EX_2pg_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	-1
core_001	EX_2pg_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	-1
core_001	EX_2pg_e	CO:HT29	LE:SR	CO:HT29	LE:SR	-1
core_001	EX_2pg_e	LC:HOP-62	LC:HOP-92	LC:HOP-62	LC:HOP-92	-1
core_001	EX_2pg_e	LC:HOP-62	LE:SR	LC:HOP-62	LE:SR	-1
core_001	EX_2pg_e	LC:HOP-92	LC:NCI-H226	LC:HOP-92	LC:NCI-H226	1
core_001	EX_2pg_e	LC:HOP-92	LE:RPMI-8226	LC:HOP-92	LE:RPMI-8226	1
core_001	EX_2pg_e	LC:HOP-92	LE:SR	LC:HOP-92	LE:SR	1
core_001	EX_2pg_e	LC:HOP-92	ME:MALME-3M	LC:HOP-92	ME:MALME-3M	1
core_001	EX_2pg_e	LC:HOP-92	RE:786-0	LC:HOP-92	RE:786-0	1
core_001	EX_2pg_e	LC:HOP-92	RE:UO-31	LC:HOP-92	RE:UO-31	1
core_001	EX_2pg_e	LC:NCI-H226	RE:786-0	LC:NCI-H226	RE:786-0	1
core_001	EX_2pg_e	LE:RPMI-8226	RE:786-0	LE:RPMI-8226	RE:786-0	1
core_001	EX_2pg_e	LE:SR	RE:786-0	LE:SR	RE:786-0	1
core_002	EX_34hpp_e	BR:HS 578T	CO:HT29	BR:HS 578T	CO:HT29	-1
core_002	EX_34hpp_e	BR:MDA-MB-231	CO:HT29	BR:MDA-MB-231	CO:HT29	-1
core_002	EX_34hpp_e	BR:MDA-MB-231	LE:RPMI-8226	BR:MDA-MB-231	LE:RPMI-8226	-1
core_002	EX_34hpp_e	BR:MDA-MB-231	ME:MALME-3M	BR:MDA-MB-231	ME:MALME-3M	-1
core_002	EX_34hpp_e	BR:MDA-MB-231	RE:UO-31	BR:MDA-MB-231	RE:UO-31	-1
