model_gene_id	entrez_id	measured
0		False
26_AT1	26	True
314_AT1	314	True
8639_AT1	8639	True
314_AT2	314	True
1591_AT1	1591	True
1594_AT1	1594	True
10993_AT1	10993	True
6818_AT1	6818	False
89874_AT1	89874	True
55293_AT1	55293	True
3945_AT1	3945	True
92483_AT1	92483	True
160287_AT1	160287	False
3948_AT2	3948	True
3948_AT1	3948	True
3939_AT1	3939	True
134526_AT1	134526	False
51_AT2	51	True
51_AT1	51	True
95_AT1	95	False
50_AT1	50	True
48_AT1	48	True
8309_AT1	8309	True
52_AT3	52	True
55_AT1	55	True
52_AT1	52	True
52_AT2	52	True
788_AT1	788	True
9194_AT1	9194	True
55902_AT1	55902	False
55902_AT2	55902	False
9123_AT1	9123	False
6566_AT1	6566	True
57835_AT2	57835	True
65985_AT1	65985	True
8671_AT1	8671	True
57835_AT3	57835	True
438_AT1	438	True
57835_AT4	57835	True
1571_AT1	1571	True
57835_AT1	57835	True
4967_AT2	4967	True
100_AT1	100	True
8050_AT1	8050	True
1738_AT1	1738	True
3177_AT1	3177	True
4967_AT1	4967	True
1743_AT1	1743	True
126_AT1	126	True
205_AT3	205	False
128_AT1	128	True
204_AT1	204	True
130_AT1	130	True
205_AT2	205	False
127_AT1	127	False
205_AT1	205	False
131_AT1	131	True
204_AT3	204	True
124_AT1	124	True
204_AT2	204	True
125_AT1	125	True
26289_AT2	26289	True
137872_AT1	137872	False
26289_AT1	26289	True
1312_AT2	1312	True
50808_AT1	50808	True
1312_AT1	1312	True
262_AT1	262	True
117247_AT1	117247	True
222_AT1	222	True
113_AT1	113	True
218_AT1	218	True
108_AT1	108	True
220_AT1	220	True
221_AT1	221	True
114_AT1	114	True
111_AT1	111	False
3242_AT1	3242	True
115_AT1	115	True
18_AT1	18	True
109_AT1	109	True
18_AT2	18	True
55811_AT1	55811	True
196883_AT1	196883	False
2531_AT1	2531	True
107_AT1	107	True
23498_AT1	23498	True
112_AT1	112	True
55268_AT1	55268	True
51166_AT2	51166	False
112_AT2	112	True
51166_AT1	51166	False
2030_AT1	2030	True
883_AT1	883	True
1644_AT1	1644	True
4129_AT1	4129	True
9154_AT2	9154	True
64078_AT1	64078	True
4128_AT1	4128	True
9153_AT1	9153	True
9154_AT1	9154	True
10165_AT1	10165	True
55315_AT1	55315	True
8604_AT1	8604	True
245972_AT1	245972	False
2572_AT1	2572	True
9114_AT1	9114	True
11164_AT1	11164	False
2571_AT2	2571	True
952_AT1	952	True
2571_AT1	2571	True
51380_AT1	51380	True
1375_AT1	1375	False
533_AT1	533	True
2805_AT1	2805	True
50617_AT3	50617	True
1374_AT1	1374	True
2806_AT1	2806	True
8659_AT1	8659	True
126129_AT1	126129	False
8659_AT2	8659	True
10312_AT1	10312	True
6817_AT2	6817	True
535_AT1	535	True
1375_AT2	1375	False
6817_AT1	6817	True
1375_AT4	1375	False
127124_AT2	127124	False
6818_AT3	6818	False
1375_AT3	1375	False
523_AT1	523	True
6817_AT4	6817	True
1376_AT1	1376	True
6799_AT2	6799	True
9060_AT1	9060	True
8992_AT1	8992	True
6817_AT5	6817	True
6818_AT2	6818	False
9061_AT1	9061	True
