source_excel_row	probe_id	entrez_id	gene_symbol	included	reason
12	222315_at	100996756	LOC100996756	True	positive Entrez identifier
13	211050_x_at		-	False	no positive Entrez identifier
14	220399_at	79854	LINC00115	True	positive Entrez identifier
15	202115_s_at	26155	NOC2L	True	positive Entrez identifier
16	205483_s_at	9636	ISG15	True	positive Entrez identifier
17	212283_at	375790	AGRN	True	positive Entrez identifier
18	212285_s_at	375790	AGRN	True	positive Entrez identifier
19	217410_at	375790	AGRN	True	positive Entrez identifier
20	217419_x_at	375790	AGRN	True	positive Entrez identifier
21	219337_at	54991	C1orf159	True	positive Entrez identifier
22	214228_x_at	7293	TNFRSF4	True	positive Entrez identifier
23	208023_at	7293	TNFRSF4	True	positive Entrez identifier
24	217855_x_at	51150	SDF4	True	positive Entrez identifier
25	221972_s_at	51150	SDF4	True	positive Entrez identifier
26	208458_at	6339	SCNN1D	True	positive Entrez identifier
27	217994_x_at		-	False	no positive Entrez identifier
28	220734_s_at	80772	CPTP	True	positive Entrez identifier
29	203230_at	1855	DVL1	True	positive Entrez identifier
30	213422_s_at	54587	MXRA8	True	positive Entrez identifier
31	218580_x_at	54998	AURKAIP1	True	positive Entrez identifier
32	221427_s_at	81669	CCNL2	True	positive Entrez identifier
33	220526_s_at	55052	MRPL20	True	positive Entrez identifier
34	220527_at	55052	MRPL20	True	positive Entrez identifier
35	218731_s_at	64856	VWA1	True	positive Entrez identifier
36	219068_x_at		-	False	no positive Entrez identifier
37	207118_s_at		-	False	no positive Entrez identifier
38	212401_s_at		-	False	no positive Entrez identifier
39	207428_x_at		-	False	no positive Entrez identifier
40	211289_x_at		-	False	no positive Entrez identifier
41	215169_at		-	False	no positive Entrez identifier
42	208917_x_at	65220	NADK	True	positive Entrez identifier
43	208918_s_at	65220	NADK	True	positive Entrez identifier
44	208919_s_at	65220	NADK	True	positive Entrez identifier
45	213607_x_at	65220	NADK	True	positive Entrez identifier
46	213613_s_at	65220	NADK	True	positive Entrez identifier
47	215159_s_at	65220	NADK	True	positive Entrez identifier
48	200744_s_at	2782	GNB1	True	positive Entrez identifier
49	200745_s_at	2782	GNB1	True	positive Entrez identifier
50	200746_s_at	2782	GNB1	True	positive Entrez identifier
51	215788_at	339457	C1orf222	True	positive Entrez identifier
52	216781_at	339457	C1orf222	True	positive Entrez identifier
53	216807_at	339457	C1orf222	True	positive Entrez identifier
54	208457_at	2563	GABRD	True	positive Entrez identifier
55	202178_at	5590	PRKCZ	True	positive Entrez identifier
56	220846_s_at	100506504	LOC100506504	True	positive Entrez identifier
57	220579_at		-	False	no positive Entrez identifier
58	204270_at	6497	SKI	True	positive Entrez identifier
59	215137_at		-	False	no positive Entrez identifier
60	213755_s_at		-	False	no positive Entrez identifier
61	219852_s_at	79906	MORN1	True	positive Entrez identifier
62	211542_x_at	6204	RPS10	True	positive Entrez identifier
63	202297_s_at	11079	RER1	True	positive Entrez identifier
64	213114_at		-	False	no positive Entrez identifier
65	202296_s_at	11079	RER1	True	positive Entrez identifier
66	213296_at	11079	RER1	True	positive Entrez identifier
67	206352_s_at	5192	PEX10	True	positive Entrez identifier
68	206351_s_at	5192	PEX10	True	positive Entrez identifier
69	206080_at	9651	PLCH2	True	positive Entrez identifier
70	218771_at	55229	PANK4	True	positive Entrez identifier
71	209354_at	8764	TNFRSF14	True	positive Entrez identifier
72	220928_s_at	63976	PRDM16	True	positive Entrez identifier
73	208009_s_at	27237	ARHGEF16	True	positive Entrez identifier
74	213942_at	1953	MEGF6	True	positive Entrez identifier
75	219322_s_at	49856	WRAP73	True	positive Entrez identifier
76	220804_s_at	7161	TP73	True	positive Entrez identifier
77	213339_at	57212	TP73-AS1	True	positive Entrez identifier
78	213340_s_at	57212	TP73-AS1	True	positive Entrez identifier
79	212904_at	57470	LRRC47	True	positive Entrez identifier
80	204074_s_at	9731	CEP104	True	positive Entrez identifier
81	204075_s_at	9731	CEP104	True	positive Entrez identifier
82	206752_s_at	1677	DFFB	True	positive Entrez identifier
83	222000_at	339448	C1orf174	True	positive Entrez identifier
84	206460_at	55966	AJAP1	True	positive Entrez identifier
85	215789_s_at	55966	AJAP1	True	positive Entrez identifier
86	215790_at	55966	AJAP1	True	positive Entrez identifier
87	215149_at	55966	AJAP1	True	positive Entrez identifier
88	213471_at	261734	NPHP4	True	positive Entrez identifier
89	216344_at	261734	NPHP4	True	positive Entrez identifier
90	203402_at	8514	KCNAB2	True	positive Entrez identifier
91	211791_s_at	8514	KCNAB2	True	positive Entrez identifier
92	213965_s_at	26038	CHD5	True	positive Entrez identifier
93	217250_s_at	26038	CHD5	True	positive Entrez identifier
