source_label	method	source_kegg	source_pdf_page	source_text
glucose	BGA	C00031	22	glucose                           BGA         ko00010|Glycolysis / Gluconeogenesis                                C00031              1                  1
lactate	BGA	C00186	22	lactate                           BGA         ko00010|Glycolysis / Gluconeogenesis                                C00186              1                  1
1-methylhistamine	HILIC	C05127	22	1-methylhistamine                 HILIC       ko00340|Histidine metabolism                                        C05127
2'-deoxyadenosine	HILIC	C00559	22	2'-deoxyadenosine                 HILIC       ko00230|Purine metabolism                                           C00559              1                  1
2'-deoxycytidine	HILIC	C00881	22	2'-deoxycytidine                  HILIC       ko00240|Pyrimidine metabolism                                       C00881              1                  1
2'-deoxyuridine	HILIC	C00526	22	2'-deoxyuridine                   HILIC       ko00240|Pyrimidine metabolism                                       C00526              1                  1
3-chlorotyrosine	HILIC	NA	22	3-chlorotyrosine                  HILIC       NA                                                                   NA
3-hydroxyanthranilate	HILIC	C00632	22	3-hydroxyanthranilate             HILIC       ko00380|Tryptophan metabolism                                       C00632              1                  1
3-methoxytyramine	HILIC	C05587	22	3-methoxytyramine                 HILIC       ko00350|Tyrosine metabolism                                         C05587
3-nitrotyrosine	HILIC	NA	22	3-nitrotyrosine                   HILIC       NA                                                                   NA
5'-adenosylhomocysteine	HILIC	C00021	22	5'-adenosylhomocysteine           HILIC       ko00270|Cysteine and methionine metabolism                          C00021              1                  1
5-HIAA	HILIC	C05635	22	5-HIAA                            HILIC       ko00380|Tryptophan metabolism                                       C05635
5-hydroxytryptophan	HILIC	C01017	22	5-hydroxytryptophan               HILIC       NA                                                                  C01017
acetylcholine	HILIC	C01996	22	acetylcholine                     HILIC       ko00564|Glycerophospholipid metabolism                              C01996
adenosine	HILIC	C00212	22	adenosine                         HILIC       ko00230|Purine metabolism                                           C00212              1                  1
alanine	HILIC	C00041	22	alanine                           HILIC       ko00250|Alanine, aspartate and glutamate metabolism                 C00041              1                  1
allantoin	HILIC	C01551	22	allantoin                         HILIC       NA                                                                  C01551              1
alpha-glycerophosphocholine	HILIC	C00670	22	alpha-glycerophosphocholine       HILIC       ko00564|Glycerophospholipid metabolism                              C00670              1                  1
aminoisobutyrate	HILIC	C03284	22	aminoisobutyrate                  HILIC       ko00280|Valine, leucine and isoleucine degradation                  C03284              1
anthranilate	HILIC	C00108	22	anthranilate                      HILIC       ko00380|Tryptophan metabolism                                       C00108              1                  1
arginine	HILIC	C00062	22	arginine                          HILIC       ko00330|Arginine and proline metabolism                             C00062              1
argininosuccinate	HILIC	C03406	22	argininosuccinate                 HILIC       ko00330|Arginine and proline metabolism                             C03406
asparagine	HILIC	C00152	22	asparagine                        HILIC       ko00250|Alanine, aspartate and glutamate metabolism                 C00152              1                  1
aspartate	HILIC	C00049	22	aspartate                         HILIC       ko00250|Alanine, aspartate and glutamate metabolism                 C00049              1                  1
asymmetric dimethylarginine	HILIC	C03626	22	asymmetric dimethylarginine       HILIC       NA                                                                  C03626              1                  1
betaine	HILIC	C00719	22	betaine                           HILIC       ko00260|Glycine, serine and threonine metabolism                    C00719              1                  1
cAMP	HILIC	C00575	23	cAMP                                 HILIC   ko00230|Purine metabolism                                C00575
carnitine	HILIC	C00318	23	carnitine                            HILIC   ko00071|Fatty acid metabolism                            C00318       1   1
carnosine	HILIC	C00386	23	carnosine                            HILIC   ko00340|Histidine metabolism                             C00386       1
cGMP	HILIC	C00942	23	cGMP                                 HILIC   ko00230|Purine metabolism                                C00942
choline	HILIC	C00114	23	choline                              HILIC   ko00564|Glycerophospholipid metabolism                   C00114       1   1
cis-hydroxyproline/trans-hydroxyproline	HILIC	C03441/C01157	23	cis-hydroxyproline/trans-hydroxyproline HILIC   ko00330|Arginine and proline metabolism               C03441/C01157   1
citrulline	HILIC	C00327	23	citrulline                           HILIC   ko00330|Arginine and proline metabolism                  C00327       1   1
cobalamin	HILIC	C00194	23	cobalamin                            HILIC   ko00860|Porphyrin and chlorophyll metabolism             C00194
cotinine	HILIC	NA	23	cotinine                             HILIC   NA                                                         NA         1
creatine	HILIC	C00300	23	creatine                             HILIC   ko00330|Arginine and proline metabolism                  C00300       1   1
creatinine	HILIC	C00791	23	creatinine                           HILIC   ko00330|Arginine and proline metabolism                  C00791       1
cystamine	HILIC	NA	23	cystamine                            HILIC   NA                                                         NA
cysteamine	HILIC	C01678	23	cysteamine                           HILIC   ko00430|Taurine and hypotaurine metabolism               C01678
cysteine	HILIC	C00097	23	cysteine                             HILIC   ko00270|Cysteine and methionine metabolism               C00097
cytosine	HILIC	C00380	23	cytosine                             HILIC   ko00240|Pyrimidine metabolism                            C00380
dimethylglycine	HILIC	C01026	23	dimethylglycine                      HILIC   ko00260|Glycine, serine and threonine metabolism         C01026       1
dopa	HILIC	C00355	23	dopa                                 HILIC   ko00350|Tyrosine metabolism                              C00355
dopamine	HILIC	C03758	23	dopamine                             HILIC   ko00350|Tyrosine metabolism                              C03758
epinephrine	HILIC	C00547	23	epinephrine                          HILIC   ko00350|Tyrosine metabolism                              C00547
GABA	HILIC	C00334	23	GABA                                 HILIC   ko00250|Alanine, aspartate and glutamate metabolism      C00334       1   1
glutamate	HILIC	C00025	23	glutamate                            HILIC   ko00250|Alanine, aspartate and glutamate metabolism      C00025       1   1
glutamine	HILIC	C00064	23	glutamine                            HILIC   ko00250|Alanine, aspartate and glutamate metabolism      C00064       1   1
glycerol	HILIC	C00116	23	glycerol                             HILIC   ko00561|Glycerolipid metabolism                          C00116       1   1
