kegg_id	name	formula	source_url	access_date	source_capture_sha256
C00020	AMP	C10H14N5O7P	https://www.kegg.jp/entry/C00020	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	https://www.kegg.jp/entry/C00021	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00022	Pyruvate	C3H4O3	https://www.kegg.jp/entry/C00022	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00025	L-Glutamate	C5H9NO4	https://www.kegg.jp/entry/C00025	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00026	2-Oxoglutarate	C5H6O5	https://www.kegg.jp/entry/C00026	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00031	D-Glucose	C6H12O6	https://www.kegg.jp/entry/C00031	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00037	Glycine	C2H5NO2	https://www.kegg.jp/entry/C00037	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00041	L-Alanine	C3H7NO2	https://www.kegg.jp/entry/C00041	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00042	Succinate	C4H6O4	https://www.kegg.jp/entry/C00042	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00047	L-Lysine	C6H14N2O2	https://www.kegg.jp/entry/C00047	2026-09-13	5640bcf95ae479930e002a671f8e97749e2fc7ac2936bfa99198f3ec09c53d95
C00049	L-Aspartate	C4H7NO4	https://www.kegg.jp/entry/C00049	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00055	CMP	C9H14N3O8P	https://www.kegg.jp/entry/C00055	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00062	L-Arginine	C6H14N4O2	https://www.kegg.jp/entry/C00062	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00064	L-Glutamine	C5H10N2O3	https://www.kegg.jp/entry/C00064	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00065	L-Serine	C3H7NO3	https://www.kegg.jp/entry/C00065	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00072	Ascorbate	C6H8O6	https://www.kegg.jp/entry/C00072	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00073	L-Methionine	C5H11NO2S	https://www.kegg.jp/entry/C00073	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00074	Phosphoenolpyruvate	C3H5O6P	https://www.kegg.jp/entry/C00074	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00077	L-Ornithine	C5H12N2O2	https://www.kegg.jp/entry/C00077	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00078	L-Tryptophan	C11H12N2O2	https://www.kegg.jp/entry/C00078	2026-09-13	84a9c623c2d041f8a1ce21db1e8c8331faa492f748cd227ccca79d54ce7b0705
C00079	L-Phenylalanine	C9H11NO2	https://www.kegg.jp/entry/C00079	2026-09-13	0b9536f2837072193d50f05e5ef8fa93cff0eab5ad141d1b15e0e04355106e9e
C00082	L-Tyrosine	C9H11NO3	https://www.kegg.jp/entry/C00082	2026-09-13	0b9536f2837072193d50f05e5ef8fa93cff0eab5ad141d1b15e0e04355106e9e
C00089	Sucrose	C12H22O11	https://www.kegg.jp/entry/C00089	2026-09-13	0b9536f2837072193d50f05e5ef8fa93cff0eab5ad141d1b15e0e04355106e9e
C00093	sn-Glycerol 3-phosphate	C3H9O6P	https://www.kegg.jp/entry/C00093	2026-09-13	0b9536f2837072193d50f05e5ef8fa93cff0eab5ad141d1b15e0e04355106e9e
