metabolite_id	source_excel_row	source_label	method	calibrated	historical_variable	historical_sd_ratio	table_s1_label	source_pdf_page	source_kegg	exchange_id	model_metabolite_id	model_metabolite_name	model_kegg	model_formula	sign_factor	candidate_exchanges	status	primary_eligible	reason
core_001	2	2-phosphoglycerate	IPR	True	True	7.29046	2-phosphoglycerate	24	C00631	EX_2pg_e	2pg_e	D-Glycerate 2-phosphate	C00631	C3H4O7P	1.0	EX_2pg_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_002	3	OH-phenylpyruvate	IPR	True	True	14.1512	OH-phenylpyruvate	26	C01179	EX_34hpp_e	34hpp_e	3-(4-Hydroxyphenyl)pyruvate	C01179	C9H7O4	1.0	EX_34hpp_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_003	4	aminoisobutyrate	HILIC	True	False	1.75158	aminoisobutyrate	22	C03284								excluded	False	no extracellular EX reaction with the exact source KEGG identifier
core_004	5	3-hydroxyanthranilate	HILIC	True	True	36.3209	3-hydroxyanthranilate	22	C00632	EX_3hanthrn_e	3hanthrn_e	3 Hydroxyanthranilate C7H7NO3	C00632	C7H7NO3	1.0	EX_3hanthrn_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_005	6	3-phosphoglycerate	IPR	True	True	6.48035	3-phosphoglycerate	24	C00197	EX_3pg_e	3pg_e	3-Phospho-D-glycerate	C00197	C3H4O7P	1.0	EX_3pg_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_006	7	GABA	HILIC	True	True	24.9968	GABA	23	C00334	EX_4abut_e	4abut_e	4-Aminobutanoate	C00334	C4H9NO2	1.0	EX_4abut_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_007	8	4-hydroxybenzoate	IPR	True	True	24.5276	4-hydroxybenzoate	24	C00156	EX_4hbz_e	4hbz_e	4-Hydroxybenzoate	C00156	C7H5O3	1.0	EX_4hbz_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_008	9	cis-hydroxyproline/trans-hydroxyproline	HILIC	True	False	2.35903	cis-hydroxyproline/trans-hydroxyproline	23	C03441/C01157								excluded	False	source assay aggregates unresolved analytes
core_009	10	4-pyridoxate	IPR	True	True	6.67788	4-pyridoxate	24	C00847								excluded	False	no extracellular EX reaction with the exact source KEGG identifier
core_010	11	5-HIAA	IPR	True	True	5.27711	5-HIAA	24	C05635								excluded	False	no extracellular EX reaction with the exact source KEGG identifier
core_011	12	acetoacetate	IPR	True	True	11.8045	acetoacetate	24	C00164	EX_acac_e	acac_e	Acetoacetate	C00164	C4H5O3	1.0	EX_acac_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_012	13	adenine	IPR	True	True	26.6679	adenine	24	C00147	EX_ade_e	ade_e	Adenine	C00147	C5H5N5	1.0	EX_ade_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_013	14	adenosine	HILIC	True	True	15.4842	adenosine	22	C00212	EX_adn_e	adn_e	Adenosine	C00212	C10H13N5O4	1.0	EX_adn_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_014	15	5'-adenosylhomocysteine	HILIC	True	True	8.15526	5'-adenosylhomocysteine	22	C00021	EX_ahcys_e	ahcys_e	S-Adenosyl-L-homocysteine	C00021	C14H20N6O5S	1.0	EX_ahcys_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_015	16	alpha-ketoglutarate	IPR	True	False	2.67089	alpha-ketoglutarate	25	C00026	EX_akg_e	akg_e	2-Oxoglutarate	C00026	C5H4O5	1.0	EX_akg_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_016	17	alanine	HILIC	True	True	18.6863	alanine	22	C00041	EX_ala__L_e	ala__L_e	L-Alanine	C01401;C00041	C3H7NO2	1.0	EX_ala__L_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_017	18	AMP	IPR	True	True	16.533	AMP	25	C00020	EX_amp_e	amp_e	AMP C10H12N5O7P	C00020	C10H12N5O7P	1.0	EX_amp_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_018	19	anthranilate	HILIC	True	True	50.9468	anthranilate	22	C00108	EX_anth_e	anth_e	Anthranilate	C00108	C7H6NO2	1.0	EX_anth_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_019	20	arginine	HILIC	True	False	2.35257	arginine	22	C00062	EX_arg__L_e	arg__L_e	L-Arginine	C02385;C00062	C6H15N4O2	1.0	EX_arg__L_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_020	21	ascorbate	IPR	False	True	4.04464	ascorbate	25	C00072	EX_ascb__L_e	ascb__L_e	L-Ascorbate	C20364;C00072	C6H7O6	1.0	EX_ascb__L_e	mapped	False	chemical mapping retained; uncalibrated assay excluded from primary QC panel
core_021	22	asparagine	HILIC	True	True	3.97133	asparagine	22	C00152	EX_asn__L_e	asn__L_e	L-Asparagine	C16438;C00152	C4H8N2O3	1.0	EX_asn__L_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_022	23	aspartate	HILIC	True	True	10.8038	aspartate	22	C00049	EX_asp__L_e	asp__L_e	L-Aspartate	C00049;C16433	C4H6NO4	1.0	EX_asp__L_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_023	24	bilirubin	IPR	True	True	8.22348	bilirubin	25	C00486	EX_bilirub_e	bilirub_e	Bilirubin cytosol	C00486	C33H34N4O6	1.0	EX_bilirub_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_024	25	N-carbamoyl-beta-alanine	HILIC	True	True	22.3039	N-carbamoyl-beta-alanine	23	C02642	EX_cala_e	cala_e	N-Carbamoyl-beta-alanine	C02642	C4H7N2O3	1.0	EX_cala_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_025	26	carnosine	HILIC	True	False	2.08094	carnosine	23	C00386								excluded	False	no extracellular EX reaction with the exact source KEGG identifier
core_026	27	choline	HILIC	True	True	25.0549	choline	23	C00114	EX_chol_e	chol_e	Choline C5H14NO	C00114	C5H14NO	1.0	EX_chol_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_027	28	phosphocholine	HILIC	True	True	26.0123	phosphocholine	24	C00588	EX_cholp_e	cholp_e	Choline phosphate C5H13NO4P	C00588	C5H13NO4P	1.0	EX_cholp_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_028	29	citrate	IPR	True	True	28.4792	citrate	25	C00158	EX_cit_e	cit_e	Citrate	C00158	C6H5O7	1.0	EX_cit_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_029	30	citrulline	HILIC	True	True	6.70799	citrulline	23	C00327	EX_citr__L_e	citr__L_e	L-Citrulline	C00327	C6H13N3O3	1.0	EX_citr__L_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_030	31	CMP	IPR	True	True	25.0845	CMP	25	C00055	EX_cmp_e	cmp_e	CMP C9H12N3O8P	C00055	C9H12N3O8P	1.0	EX_cmp_e	mapped	True	single source/model KEGG-concordant extracellular exchange
core_031	32	creatine	HILIC	True	True	9.96339	creatine	23	C00300								excluded	False	no extracellular EX reaction with the exact source KEGG identifier
core_032	33	carnitine	HILIC	True	True	10.6822	carnitine	23	C00318	EX_crn_e	crn_e	L-Carnitine	C00487;C00318	C7H15NO3	1.0	EX_crn_e	mapped	True	single source/model KEGG-concordant extracellular exchange
