context	arm	exchange_id	B0_low	B0_high	B1_low	B1_high	B2_low	B2_high	B0_width	B1_width	B2_width	B0_fixed	B1_fixed	B2_fixed	B0_to_B1_width_contraction	B1_to_B2_width_contraction	first_fixed_stage	B0_B1_nesting_violation	B1_B2_nesting_violation	saved_point_containment_violation
BR:T-47D	magnitude_g0.50	EX_4abut_e	0.0	197.00203985953277	0.0	1.4090854180506308e-07	0.0	3.9080503945054235e-09	197.00203985953277	1.4090854180506308e-07	3.9080503945054235e-09	False	True	True	197.00203971862422	1.3700049141055767e-07	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_L2aadp_e	0.0	12.129704866054146	0.0	4.257024470109029e-08	0.0	1.187902725684098e-09	12.129704866054146	4.257024470109029e-08	1.187902725684098e-09	False	True	True	12.129704823483902	4.138234197540619e-08	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_Lkynr_e	0.0	9.306954454488732	0.0	1.1915329261536534e-07	0.0	3.2617271302718867e-09	9.306954454488732	1.1915329261536534e-07	3.2617271302718867e-09	False	True	True	9.306954335335439	1.1589156548509345e-07	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_ala__L_e	0.0	179.737712397739	8.395823427700979	8.395827719975136	8.395825507402904	8.39582562917429	179.737712397739	4.292274157435827e-06	1.217713858636671e-07	False	True	True	179.73770810546483	4.17050277157216e-06	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_anth_e	0.0	9.306954454488709	0.0	8.438811295513754e-08	0.0	2.3193365949180564e-09	9.306954454488709	8.438811295513754e-08	2.3193365949180564e-09	False	True	True	9.306954370100597	8.206877636021947e-08	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_cala_e	0.0	18.897369450738505	0.0	1.2243045183264605e-08	0.0	4.124730937011215e-10	18.897369450738505	1.2243045183264605e-08	4.124730937011215e-10	False	True	True	18.89736943849546	1.1830572089563483e-08	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_chol_e	-10.0	10.760620848841114	-0.3829788786841327	-0.38297744793697064	-0.38297818175551135	-0.38297814116633905	20.760620848841114	1.4307471620789158e-06	4.0589172300986576e-08	False	True	True	20.760619418093953	1.3901579897779293e-06	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_cholp_e	0.0	8.035839045971315	0.0	3.0736821725342634e-08	0.0	8.541510148769801e-10	8.035839045971315	3.0736821725342634e-08	8.541510148769801e-10	False	True	True	8.035839015234494	2.988267071046565e-08	first_fixed_B1	0.0	0.0	0.0
BR:T-47D	magnitude_g0.50	EX_cit_e	0.0	71.61718087321354	1.009733059021612	1.0097478736064651	1.0097465827224212	1.0097478737345236	71.61718087321354	1.4814584853084511e-05	1.2910121023335108e-06	False	False	True	71.61716605862868	1.3523572750751e-05	first_fixed_B2	0.0	1.2805845273078376e-10	0.0
BR:T-47D	magnitude_g0.50	EX_cmp_e	0.0	0.0	0.0	0.0	0.0	2.23719367747561e-10	0.0	0.0	2.23719367747561e-10	True	True	True	0.0	-2.23719367747561e-10	already_fixed_B0	0.0	2.23719367747561e-10	0.0
