context	arm	exchange_id	point_glpk	point_second	abs_diff	width_glpk	width_second	fixed_glpk	fixed_second	rel_diff_primary_optimum
LE:K-562	ordinal	EX_2pg_e	0.0	0.0	0.0	2.7807397977042074e-09	2.780673469260364e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_34hpp_e	0.0	-0.0	0.0	7.886727461979006e-08	7.88426284259458e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_3hanthrn_e	0.0	0.0	0.0	9.709224784164077e-10	9.708203685399042e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_3pg_e	0.0	0.0	0.0	2.790419747443837e-09	2.789843023265348e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_4abut_e	0.0	-0.0	0.0	1.3059687059856492e-08	1.3059818115834787e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_4hbz_e	0.0	-0.0	0.0	2.109529179978521e-09	1.946865282602717e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_L2aadp_e	0.0	-0.0	0.0	4.166922676978406e-09	4.165903635622312e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_Lkynr_e	0.0	-0.0	0.0	1.9271575508184446e-09	1.9268378004255737e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_acac_e	0.02872270527168794	0.028722705271688298	3.5735303605122226e-16	1.3063222418716047e-07	1.3060923041013917e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ade_e	0.0	0.0	0.0	4.3336087347300635e-10	4.157687527595044e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_adn_e	0.0	0.0	0.0	3.2114772183869175e-10	3.183018293384521e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ahcys_e	0.0	0.0	0.0	3.0612061574061055e-10	3.021911609835115e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_akg_e	0.0	0.0	0.0	4.38051338216992e-08	4.3801408722288215e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ala__L_e	13.244949215561368	13.244949215561325	4.263256414560601e-14	3.281818816702753e-07	3.28201993582411e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_amp_e	0.0	0.0	0.0	3.2617614230959485e-10	2.687547961954806e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_anth_e	0.0	0.0	0.0	1.7113942089322227e-09	1.7114227138762971e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_arg__L_e	-1.1802492389233226	-1.180249238923323	4.440892098500626e-16	1.9220498659322516e-07	1.9216509983266405e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_asn__L_e	-7.169989806039508	-7.169989806039519	1.0658141036401503e-14	2.8390901363195553e-07	2.839007882116107e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_asp__L_e	-2.1263901968944086	-2.1263901968943877	2.0872192862952943e-14	2.868623760754474e-07	2.868786430632042e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_bilirub_e	0.0	-0.0	0.0	2.182043632525848e-10	2.1819669303691956e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_cala_e	0.0	0.0	0.0	9.922126281215648e-10	9.919283866510753e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_chol_e	-2.2595698547931393	-2.2595698547931407	1.3322676295501878e-15	3.68938763983806e-08	3.688610528129743e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_cholp_e	0.0	0.0	0.0	2.702030603469119e-09	2.701118440029404e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_cit_e	0.0	0.0	0.0	6.939144478262648e-08	6.940429919666258e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_citr__L_e	0.0	0.0	0.0	1.2739955067039277e-08	1.2736627752474305e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_cmp_e	0.0	0.0	0.0	0.0	0.0	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_crn_e	2.3101638676254365e-16	0.0	2.3101638676254365e-16	2.154063509459103e-08	2.153067768517758e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_cyst__L_e	0.0	0.0	0.0	1.2801843163216517e-09	1.2799379334182959e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_cytd_e	0.0	0.0	0.0	6.074095631725922e-10	6.072915226251752e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_dad_2_e	0.0	0.0	0.0	3.5804412844515065e-10	3.189966069072625e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_dcmp_e	0.0	0.0	0.0	5.309338631406316e-10	5.308987416352551e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_dcyt_e	0.0	0.0	0.0	6.232997200437634e-10	6.232160620900373e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_dhap_e	0.0	0.0	0.0	1.6219562323009472e-09	1.621629053261131e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_dmgly_e	0.0	0.0	0.0	1.4594630994960086e-09	1.459403401545737e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_duri_e	0.0	0.0	0.0	6.253399685946012e-10	6.252252049421259e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ethamp_e	0.0	0.0	0.0	1.1784149645877901e-08	1.1780689979090653e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_fol_e	0.0	-0.0	0.0	2.8158635570150126e-08	2.81523853118415e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_fum_e	11.847538732115042	11.847538732115014	2.842170943040401e-14	2.054919132632449e-07	2.0546009871225124e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_g3pc_e	0.0	0.0	0.0	1.614850165128737e-09	1.6145198511452463e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_glc__D_e	-10.0	-10.0	0.0	1.742083810540862e-09	1.741657484899406e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_glcur_e	0.0	0.0	0.0	2.5897352745790787e-09	1.9698269682066893e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_gln__L_e	-10.0	-10.0	0.0	6.647269223947205e-08	6.64578205800126e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_glu__L_e	-10.0	-10.0	0.0	3.4683768745935595e-08	3.4671272075570414e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_gly_e	-10.0	-10.0	0.0	2.7347756947904145e-07	2.734117874325648e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_glyald_e	0.0	0.0	0.0	3.46486461949539e-09	3.4644109803139145e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_glyb_e	0.0	0.0	0.0	6.936788499303539e-09	6.935842445831109e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_glyc3p_e	0.0	0.0	0.0	1.5379250911097082e-09	1.5374945760981973e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_gmp_e	0.0	-0.0	0.0	0.0	0.0	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_gthox_e	0.0	-0.0	0.0	3.153343345567943e-09	3.1529256242871875e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_hcys__L_e	0.0	0.0	0.0	1.8409585965780808e-09	1.8405108548336102e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_hom__L_e	0.0	-0.0	0.0	0.0	0.0	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_hxan_e	0.0	0.0	0.0	4.924601927760292e-10	4.923141339041592e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_icit_e	0.0	-0.0	0.0	2.5485305742656688e-08	2.5485810795089492e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ile__L_e	-0.9398300444600184	-0.9398300444600189	5.551115123125783e-16	1.416390897901465e-07	1.4163923978127713e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_imp_e	0.0	0.0	0.0	3.6388108712009603e-10	3.638408463402243e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ins_e	0.0	0.0	0.0	3.6138118070116624e-10	3.6137901004984485e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_lac__L_e	17.025188900326313	17.02518890032638	6.750155989720952e-14	5.445913551227477e-07	5.445428570283184e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_lcts_e	0.0	0.0	0.0	5.475301198661401e-10	5.023445160569914e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_leu__L_e	-1.7922337326704474	-1.7922337326704487	1.3322676295501878e-15	1.2547844163712796e-07	1.2545159933097239e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_lys__L_e	-1.9452265708841625	-1.9452265708841634	8.881784197001252e-16	2.8623261827398494e-07	2.8625278569727186e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_mal__L_e	0.0	-0.0	0.0	4.268527362388621e-08	4.268523312589423e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_met__L_e	-0.5026982632120718	-0.5026982632120721	3.3306690738754696e-16	1.2547119188077716e-07	1.2547567018739159e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_nac_e	-2.4969925124507766e-15	-0.0	2.4969925124507766e-15	8.022682451659992e-09	8.024109376947308e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ncam_e	0.0	0.0	0.0	4.495117359958041e-08	4.494053011209568e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_nicrnt_e	0.0	0.0	0.0	8.474745806480267e-10	8.473968193811743e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_orn_e	0.0	0.0	0.0	2.16134617030692e-08	2.1612165834739017e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_orot5p_e	0.0	0.0	0.0	5.348034763570913e-10	5.34729871493056e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_orot_e	0.0	0.0	0.0	1.319732576445553e-09	1.3197567483302919e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_oxa_e	0.0	-0.0	0.0	3.6172056208425956e-09	2.788174691401565e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_pep_e	0.0	0.0	0.0	3.065767874395754e-09	3.065320441919539e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_phe__L_e	-10.0	-10.0	0.0	5.1976511983298224e-08	5.196255159489738e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_pnto__R_e	0.0	0.0	0.0	3.7542564605003984e-08	3.753694244323924e-08	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_pro__L_e	-7.414954180563461	-7.4149542432939874	6.273052655103584e-08	3.547543290238764e-07	3.547448477192461e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_quln_e	0.0	0.0	0.0	6.428681378673823e-10	6.28973946999641e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_sbt__D_e	0.0	0.0	0.0	0.0	0.0	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ser__L_e	-10.0	-10.0	0.0	4.079550919300345e-09	4.079485194097288e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_spmd_e	0.0	-0.0	0.0	5.338567324824786e-10	4.924887164747815e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_sprm_e	0.0	0.0	0.0	2.68926007227438e-10	2.498083912608048e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_srtn_e	0.0	0.0	0.0	1.9834847041967258e-09	1.9830457276270863e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_succ_e	13.041643839132579	13.0416438391325	7.993605777301127e-14	1.2004861638104103e-07	1.2002694838031402e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_sucr_e	0.0	0.0	0.0	0.0	0.0	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_taur_e	0.0	0.0	0.0	1.6260193909925989e-09	1.6258797086443622e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_tchola_e	0.0	0.0	0.0	3.518615857028009e-10	3.4719190485551127e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_thr__L_e	-1.0272564007096077	-1.0272564007096083	6.661338147750939e-16	1.416276607102418e-07	1.4163274286715932e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_thym_e	0.0	0.0	0.0	7.637049400442314e-10	7.635254206661557e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_thymd_e	0.0	0.0	0.0	5.106313332430198e-10	5.105436004515518e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_trp__L_e	-0.04371324085544778	-0.04371317812479468	6.273065310258286e-08	1.2549051814358947e-07	1.2547585962613406e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_tyr__L_e	-6.584407081415429	-6.584407144145956	6.273052743921426e-08	3.5473761084148236e-07	3.5470498715994836e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ump_e	0.0	0.0	0.0	4.021002660424355e-10	4.020287991401972e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ura_e	0.0	0.0	0.0	1.1037492043395398e-09	1.1036737079805903e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_urate_e	0.0	-0.0	0.0	4.694577497366424e-10	4.673177923062694e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_uri_e	0.0	0.0	0.0	6.213858160139914e-10	6.213961012413449e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_val__L_e	-1.1583927753222314	-1.1583926498609256	1.2546130578883208e-07	1.2548364036746307e-07	1.254775101600103e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_xan_e	0.0	0.0	0.0	4.853753423383886e-10	4.830927602395008e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_xmp_e	0.0	0.0	0.0	3.5973823972508007e-10	3.5968392153584716e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_xtsn_e	0.0	0.0	0.0	3.637369351342626e-10	3.563206119050477e-10	True	True	6.51445353994283e-16
