task_mode	encoding_family	contrast	metabolite	exchange_id	a_oxygen	a_treatment	b_oxygen	b_treatment	measured_direction	a_measured_mean	b_measured_mean	interval_direction_shared	interval_direction_pooled	point_direction	point_category	interval_agrees_shared	interval_agrees_pooled	point_agrees	a_intervals	b_intervals	a_min_lo	a_max_hi	b_min_lo	b_max_hi
fraction	primary_five_power	drug_21	glucose	EX_glc__D_e	21%	BAY	21%	DMSO	0	-595.116	-471.787	0	0	0	unanimous_tie				20	20	-10.0	-10.0	-10.0	-10.0
fraction	primary_five_power	drug_21	lactate	EX_lac__L_e	21%	BAY	21%	DMSO	1	1345.288	975.152	0	0	0	conflicting				20	20	25.340327	45.74566	27.602942	43.93179
fraction	primary_five_power	drug_05	glucose	EX_glc__D_e	0.5%	BAY	0.5%	DMSO	0	-472.302	-502.173	0	0	0	unanimous_tie				20	20	-10.0	-10.0	-10.0	-10.0
fraction	primary_five_power	drug_05	lactate	EX_lac__L_e	0.5%	BAY	0.5%	DMSO	0	703.944	741.048	0	0	0	conflicting				20	20	32.602065	46.606432	26.578359	43.398888
fraction	primary_five_power	oxy_dmso	glucose	EX_glc__D_e	21%	DMSO	0.5%	DMSO	0	-471.787	-502.173	0	0	0	unanimous_tie				20	20	-10.0	-10.0	-10.0	-10.0
fraction	primary_five_power	oxy_dmso	lactate	EX_lac__L_e	21%	DMSO	0.5%	DMSO	0	975.152	741.048	0	0	0	conflicting				20	20	27.602942	43.93179	26.578359	43.398888
fraction	primary_five_power	oxy_bay	glucose	EX_glc__D_e	21%	BAY	0.5%	BAY	0	-595.116	-472.302	0	0	0	unanimous_tie				20	20	-10.0	-10.0	-10.0	-10.0
fraction	primary_five_power	oxy_bay	lactate	EX_lac__L_e	21%	BAY	0.5%	BAY	1	1345.288	703.944	0	0	0	conflicting				20	20	25.340327	45.74566	32.602065	46.606432
fraction	sensitivity_six_with_ordinal	drug_21	glucose	EX_glc__D_e	21%	BAY	21%	DMSO	0	-595.116	-471.787	0	0	0	unanimous_tie				24	24	-10.0	-10.0	-10.0	-10.0
fraction	sensitivity_six_with_ordinal	drug_21	lactate	EX_lac__L_e	21%	BAY	21%	DMSO	1	1345.288	975.152	0	0	0	conflicting				24	24	25.340327	48.090007	27.602942	48.829344
