panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	magnitude_g0.50	core_006	45	0.5	0.5
primary	magnitude_g0.50	core_016	50	0.42	0.42
primary	magnitude_g0.50	core_018	54	0.5	0.5
primary	magnitude_g0.50	core_024	53	0.5	0.5
primary	magnitude_g0.50	core_026	47	0.5212765957446809	0.5212765957446809
primary	magnitude_g0.50	core_027	49	0.5	0.5
primary	magnitude_g0.50	core_028	49	0.41836734693877553	0.41836734693877553
primary	magnitude_g0.50	core_030	45	0.5	0.5
primary	magnitude_g0.50	core_032	50	0.5	0.5
primary	magnitude_g0.50	core_035	50	0.5	0.5
primary	magnitude_g0.50	core_039	50	0.5	0.5
primary	magnitude_g0.50	core_041	48	0.5	0.5
primary	magnitude_g0.50	core_044	46	0.5108695652173914	0.5108695652173914
primary	magnitude_g0.50	core_049	41	0.5	0.5
primary	magnitude_g0.50	core_050	53	0.3584905660377358	0.3584905660377358
primary	magnitude_g0.50	core_051	46	0.5652173913043478	0.5652173913043478
primary	magnitude_g0.50	core_052	45	0.45555555555555555	0.45555555555555555
primary	magnitude_g0.50	core_053	45	0.5	0.5
primary	magnitude_g0.50	core_056	44	0.5	0.5
primary	magnitude_g0.50	core_062	50	0.5	0.5
primary	magnitude_g0.50	core_063	52	0.5	0.5
primary	magnitude_g0.50	core_064	37	0.5	0.5
primary	magnitude_g0.50	core_067	40	0.5	0.5
primary	magnitude_g0.50	core_069	44	0.5	0.5
primary	magnitude_g0.50	core_070	51	0.37254901960784315	0.37254901960784315
primary	magnitude_g0.50	core_072	44	0.5	0.5
primary	magnitude_g0.50	core_073	49	0.5	0.5
primary	magnitude_g0.50	core_074	45	0.5	0.5
primary	magnitude_g0.50	core_075	49	0.35714285714285715	0.35714285714285715
primary	magnitude_g0.50	core_076	40	0.5	0.5
primary	magnitude_g0.50	core_077	40	0.5	0.5
primary	magnitude_g0.50	core_078	49	0.5	0.5
primary	magnitude_g0.50	core_080	51	0.5	0.5
primary	magnitude_g0.50	core_081	50	0.5	0.5
primary	magnitude_g0.50	core_085	44	0.5	0.5
primary	magnitude_g0.50	core_088	36	0.5	0.5
primary	magnitude_g0.50	core_091	41	0.5	0.5
primary	magnitude_g0.50	core_092	53	0.5	0.5
primary	magnitude_g0.50	core_094	45	0.5	0.5
primary	magnitude_g0.50	core_095	48	0.5	0.5
primary	magnitude_g0.50	core_096	47	0.5425531914893617	0.5425531914893617
primary	magnitude_g0.50	core_098	48	0.5	0.5
primary	magnitude_g0.50	core_099	37	0.5	0.5
primary	magnitude_g0.50	core_102	49	0.5	0.5
primary	magnitude_g0.50	core_103	52	0.5	0.5
primary	magnitude_g0.50	core_104	50	0.5	0.5
primary	magnitude_g0.50	core_110	46	0.5	0.5
primary	magnitude_g0.50	core_111	54	0.5	0.5
primary	magnitude_g0.50	core_112	44	0.5	0.5
primary	magnitude_g0.50	core_113	52	0.5	0.5
primary	magnitude_g0.50	core_114	44	0.5	0.5
primary	magnitude_g0.50	core_115	47	0.5	0.5
primary	magnitude_g0.80	core_006	45	0.5	0.5
primary	magnitude_g0.80	core_016	50	0.5	0.5
primary	magnitude_g0.80	core_018	54	0.5	0.5
primary	magnitude_g0.80	core_024	53	0.5	0.5
primary	magnitude_g0.80	core_026	47	0.5957446808510638	0.5957446808510638
primary	magnitude_g0.80	core_027	49	0.5	0.5
primary	magnitude_g0.80	core_028	49	0.5714285714285714	0.5714285714285714
primary	magnitude_g0.80	core_030	45	0.5	0.5
primary	magnitude_g0.80	core_032	50	0.5	0.5
primary	magnitude_g0.80	core_035	50	0.5	0.5
primary	magnitude_g0.80	core_039	50	0.5	0.5
primary	magnitude_g0.80	core_041	48	0.5	0.5
primary	magnitude_g0.80	core_044	46	0.5108695652173914	0.5108695652173914
primary	magnitude_g0.80	core_049	41	0.5	0.5
primary	magnitude_g0.80	core_050	53	0.5	0.5
primary	magnitude_g0.80	core_051	46	0.5434782608695652	0.5434782608695652
primary	magnitude_g0.80	core_052	45	0.4444444444444444	0.4444444444444444
primary	magnitude_g0.80	core_053	45	0.5	0.5
primary	magnitude_g0.80	core_056	44	0.5	0.5
primary	magnitude_g0.80	core_062	50	0.5	0.5
primary	magnitude_g0.80	core_063	52	0.5	0.5
primary	magnitude_g0.80	core_064	37	0.5	0.5
primary	magnitude_g0.80	core_067	40	0.5	0.5
primary	magnitude_g0.80	core_069	44	0.5	0.5
primary	magnitude_g0.80	core_070	51	0.4117647058823529	0.4117647058823529
primary	magnitude_g0.80	core_072	44	0.5	0.5
primary	magnitude_g0.80	core_073	49	0.5	0.5
primary	magnitude_g0.80	core_074	45	0.5	0.5
primary	magnitude_g0.80	core_075	49	0.336734693877551	0.336734693877551
primary	magnitude_g0.80	core_076	40	0.5	0.5
primary	magnitude_g0.80	core_077	40	0.5	0.5
primary	magnitude_g0.80	core_078	49	0.5	0.5
primary	magnitude_g0.80	core_080	51	0.5	0.5
primary	magnitude_g0.80	core_081	50	0.5	0.5
primary	magnitude_g0.80	core_085	44	0.5	0.5
primary	magnitude_g0.80	core_088	36	0.5	0.5
primary	magnitude_g0.80	core_091	41	0.5	0.5
primary	magnitude_g0.80	core_092	53	0.5	0.5
primary	magnitude_g0.80	core_094	45	0.5	0.5
primary	magnitude_g0.80	core_095	48	0.5	0.5
primary	magnitude_g0.80	core_096	47	0.6276595744680851	0.6276595744680851
primary	magnitude_g0.80	core_098	48	0.5	0.5
primary	magnitude_g0.80	core_099	37	0.5	0.5
primary	magnitude_g0.80	core_102	49	0.5	0.5
primary	magnitude_g0.80	core_103	52	0.5	0.5
primary	magnitude_g0.80	core_104	50	0.5	0.5
primary	magnitude_g0.80	core_110	46	0.5	0.5
primary	magnitude_g0.80	core_111	54	0.5	0.5
primary	magnitude_g0.80	core_112	44	0.5	0.5
primary	magnitude_g0.80	core_113	52	0.5	0.5
primary	magnitude_g0.80	core_114	44	0.5	0.5
primary	magnitude_g0.80	core_115	47	0.5	0.5
primary	magnitude_g1.00	core_006	45	0.5	0.5
primary	magnitude_g1.00	core_016	50	0.55	0.55
primary	magnitude_g1.00	core_018	54	0.5	0.5
primary	magnitude_g1.00	core_024	53	0.5	0.5
primary	magnitude_g1.00	core_026	47	0.6063829787234043	0.6063829787234043
primary	magnitude_g1.00	core_027	49	0.5	0.5
primary	magnitude_g1.00	core_028	49	0.5714285714285714	0.5714285714285714
primary	magnitude_g1.00	core_030	45	0.5	0.5
primary	magnitude_g1.00	core_032	50	0.5	0.5
primary	magnitude_g1.00	core_035	50	0.5	0.5
primary	magnitude_g1.00	core_039	50	0.5	0.5
primary	magnitude_g1.00	core_041	48	0.5	0.5
primary	magnitude_g1.00	core_044	46	0.5217391304347826	0.5217391304347826
primary	magnitude_g1.00	core_049	41	0.5	0.5
primary	magnitude_g1.00	core_050	53	0.5471698113207547	0.5471698113207547
primary	magnitude_g1.00	core_051	46	0.6739130434782609	0.6739130434782609
primary	magnitude_g1.00	core_052	45	0.4222222222222222	0.4222222222222222
primary	magnitude_g1.00	core_053	45	0.5	0.5
primary	magnitude_g1.00	core_056	44	0.5	0.5
primary	magnitude_g1.00	core_062	50	0.5	0.5
primary	magnitude_g1.00	core_063	52	0.5	0.5
primary	magnitude_g1.00	core_064	37	0.5	0.5
primary	magnitude_g1.00	core_067	40	0.5	0.5
primary	magnitude_g1.00	core_069	44	0.5	0.5
primary	magnitude_g1.00	core_070	51	0.43137254901960786	0.43137254901960786
primary	magnitude_g1.00	core_072	44	0.5	0.5
primary	magnitude_g1.00	core_073	49	0.5	0.5
primary	magnitude_g1.00	core_074	45	0.5	0.5
primary	magnitude_g1.00	core_075	49	0.3163265306122449	0.3163265306122449
primary	magnitude_g1.00	core_076	40	0.5	0.5
primary	magnitude_g1.00	core_077	40	0.5	0.5
primary	magnitude_g1.00	core_078	49	0.5	0.5
primary	magnitude_g1.00	core_080	51	0.5	0.5
primary	magnitude_g1.00	core_081	50	0.5	0.5
primary	magnitude_g1.00	core_085	44	0.5	0.5
primary	magnitude_g1.00	core_088	36	0.5	0.5
primary	magnitude_g1.00	core_091	41	0.5	0.5
primary	magnitude_g1.00	core_092	53	0.5	0.5
primary	magnitude_g1.00	core_094	45	0.5	0.5
primary	magnitude_g1.00	core_095	48	0.5	0.5
primary	magnitude_g1.00	core_096	47	0.6808510638297872	0.6808510638297872
primary	magnitude_g1.00	core_098	48	0.5	0.5
primary	magnitude_g1.00	core_099	37	0.5	0.5
primary	magnitude_g1.00	core_102	49	0.5	0.5
primary	magnitude_g1.00	core_103	52	0.5	0.5
primary	magnitude_g1.00	core_104	50	0.5	0.5
primary	magnitude_g1.00	core_110	46	0.5	0.5
primary	magnitude_g1.00	core_111	54	0.5	0.5
primary	magnitude_g1.00	core_112	44	0.5	0.5
primary	magnitude_g1.00	core_113	52	0.5	0.5
primary	magnitude_g1.00	core_114	44	0.5	0.5
primary	magnitude_g1.00	core_115	47	0.5	0.5
primary	magnitude_g1.25	core_006	45	0.5	0.5
primary	magnitude_g1.25	core_016	50	0.5	0.5
primary	magnitude_g1.25	core_018	54	0.5	0.5
primary	magnitude_g1.25	core_024	53	0.5	0.5
primary	magnitude_g1.25	core_026	47	0.5	0.5
primary	magnitude_g1.25	core_027	49	0.5	0.5
primary	magnitude_g1.25	core_028	49	0.5	0.5
primary	magnitude_g1.25	core_030	45	0.5	0.5
primary	magnitude_g1.25	core_032	50	0.5	0.5
primary	magnitude_g1.25	core_035	50	0.5	0.5
primary	magnitude_g1.25	core_039	50	0.5	0.5
primary	magnitude_g1.25	core_041	48	0.5	0.5
primary	magnitude_g1.25	core_044	46	0.5760869565217391	0.5760869565217391
primary	magnitude_g1.25	core_049	41	0.5	0.5
primary	magnitude_g1.25	core_050	53	0.5754716981132075	0.5754716981132075
primary	magnitude_g1.25	core_051	46	0.6304347826086957	0.6304347826086957
primary	magnitude_g1.25	core_052	45	0.5222222222222223	0.5222222222222223
primary	magnitude_g1.25	core_053	45	0.5	0.5
primary	magnitude_g1.25	core_056	44	0.5	0.5
primary	magnitude_g1.25	core_062	50	0.5	0.5
primary	magnitude_g1.25	core_063	52	0.5	0.5
primary	magnitude_g1.25	core_064	37	0.5	0.5
primary	magnitude_g1.25	core_067	40	0.5	0.5
primary	magnitude_g1.25	core_069	44	0.5	0.5
primary	magnitude_g1.25	core_070	51	0.39215686274509803	0.39215686274509803
primary	magnitude_g1.25	core_072	44	0.5	0.5
primary	magnitude_g1.25	core_073	49	0.5	0.5
primary	magnitude_g1.25	core_074	45	0.5	0.5
primary	magnitude_g1.25	core_075	49	0.35714285714285715	0.35714285714285715
primary	magnitude_g1.25	core_076	40	0.5	0.5
primary	magnitude_g1.25	core_077	40	0.5	0.5
primary	magnitude_g1.25	core_078	49	0.5	0.5
primary	magnitude_g1.25	core_080	51	0.5	0.5
primary	magnitude_g1.25	core_081	50	0.5	0.5
primary	magnitude_g1.25	core_085	44	0.5	0.5
primary	magnitude_g1.25	core_088	36	0.5	0.5
primary	magnitude_g1.25	core_091	41	0.5	0.5
primary	magnitude_g1.25	core_092	53	0.5	0.5
primary	magnitude_g1.25	core_094	45	0.5	0.5
primary	magnitude_g1.25	core_095	48	0.5	0.5
primary	magnitude_g1.25	core_096	47	0.5106382978723404	0.5106382978723404
