panel	arm	macro_point_operational	macro_interval_operational	eligible_pairs	failed_point_pairs	failed_range_pairs	resolved_interval_pairs	resolved_accuracy_pooled	fixed_target_count
primary	magnitude_g0.50	0.4908081170968952	0.4908081170968952	2438	0	0	343	0.42857142857142855	52
primary	magnitude_g0.80	0.5008100864815197	0.5008100864815197	2438	0	0	301	0.5049833887043189	52
primary	magnitude_g1.00	0.5061808827128776	0.5061808827128776	2438	0	0	288	0.5520833333333334	52
primary	magnitude_g1.25	0.5012337245620415	0.5012337245620415	2438	0	0	241	0.5103734439834025	52
primary	magnitude_g2.00	0.5059634898871734	0.5059634898871734	2438	0	0	222	0.5675675675675675	52
primary	ordinal	0.4951972875228536	0.4951972875228536	2438	0	0	296	0.4560810810810811	52
primary	uniform_pfba	0.5	0.5	2438	0	0	0		52
broader_chemistry	magnitude_g0.50	0.49397296993409767	0.49397296993409767	3520	0	0	369	0.44173441734417346	93
broader_chemistry	magnitude_g0.80	0.497031641708142	0.497031641708142	3520	0	0	312	0.4935897435897436	93
broader_chemistry	magnitude_g1.00	0.5047593335729221	0.5047593335729221	3520	0	0	303	0.5544554455445545	93
broader_chemistry	magnitude_g1.25	0.500201065933028	0.500201065933028	3520	0	0	248	0.5080645161290323	93
broader_chemistry	magnitude_g2.00	0.5043119415595926	0.5043119415595926	3520	0	0	226	0.5707964601769911	93
broader_chemistry	ordinal	0.49409750673691577	0.49409750673691577	3520	0	0	329	0.4316109422492401	93
broader_chemistry	uniform_pfba	0.5	0.5	3520	0	0	0		93
