panel	arm	macro_point_operational	macro_interval_operational	eligible_pairs	failed_point_pairs	failed_range_pairs	resolved_interval_pairs	resolved_accuracy_pooled	fixed_target_count
primary	magnitude_g0.50	0.5118722896194396	0.5118722896194396	2438	0	0	205	0.6292682926829268	52
primary	magnitude_g0.80	0.5092144377912934	0.5092144377912934	2438	0	0	233	0.5879828326180258	52
primary	magnitude_g1.00	0.5040810282757758	0.5040810282757758	2438	0	0	248	0.5282258064516129	52
primary	magnitude_g1.25	0.501823339246987	0.501823339246987	2438	0	0	263	0.5095057034220533	52
primary	magnitude_g2.00	0.5049409872941325	0.5049409872941325	2438	0	0	250	0.54	52
primary	ordinal	0.49918518750049834	0.5000398883551992	2438	0	0	329	0.49848024316109424	52
primary	uniform_pfba	0.5	0.5	2438	0	0	0		52
broader_chemistry	magnitude_g0.50	0.5043957302201961	0.5043957302201961	3520	0	0	215	0.6	93
broader_chemistry	magnitude_g0.80	0.5029096195205875	0.5029096195205875	3520	0	0	243	0.5637860082304527	93
broader_chemistry	magnitude_g1.00	0.50003932602804	0.50003932602804	3520	0	0	258	0.5077519379844961	93
broader_chemistry	magnitude_g1.25	0.5005307429611697	0.5005307429611697	3520	0	0	266	0.5075187969924813	93
broader_chemistry	magnitude_g2.00	0.5022739440197886	0.5022739440197886	3520	0	0	253	0.5375494071146245	93
broader_chemistry	ordinal	0.49984892035257156	0.5005336000695093	3520	0	0	395	0.4835443037974684	93
broader_chemistry	uniform_pfba	0.5	0.5	3520	0	0	0		93
