scenario	context	vector_from_arm	scored_against_arm	regret	within_primary_cap	within_secondary_cap	cost_under_target	target_optimum	target_cap
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g0.50	1.2651273578588947e-09	1	1	377.1771563794157	377.17715590223855	377.17715637941575
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g0.80	0.0006811935389602711	0	0	387.2576972403182	386.99407937383285	386.99407986082696
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g1.00	0.0017107262017378327	0	0	393.76526413614994	393.0927900005817	393.0927904936745
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g1.25	0.0033048089527373133	0	0	401.6046478093336	400.2817929563537	400.2817934566355
half_serum	BR:BT-549	magnitude_g0.50	magnitude_g2.00	0.008066330452610234	0	0	422.9248239142462	419.54067022986254	419.54067074940326
half_serum	BR:BT-549	magnitude_g0.50	ordinal	0.1247705968103368	0	1	233.62948911156013	207.71301256815806	207.71301287587107
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g0.50	0.0007438238070980439	0	1	377.45770925029217	377.17715590223855	377.17715637941575
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g0.80	1.2584027017170275e-09	0	0	386.99407986082724	386.99407937383285	386.99407986082696
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g1.00	0.00018959164387299897	0	0	393.16731710883255	393.0927900005817	393.0927904936745
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g1.25	0.0008445803642661715	0	0	400.6198630988579	400.2817929563537	400.2817934566355
half_serum	BR:BT-549	magnitude_g0.80	magnitude_g2.00	0.0033980620007166085	0	0	420.9662954391258	419.54067022986254	419.54067074940326
half_serum	BR:BT-549	magnitude_g0.80	ordinal	0.15113273398082386	0	1	239.10524804097702	207.71301256815806	207.71301287587107
half_serum	BR:BT-549	magnitude_g1.00	magnitude_g0.50	0.0022157615356556185	0	1	378.0128905364147	377.17715590223855	377.17715637941575
half_serum	BR:BT-549	magnitude_g1.00	magnitude_g0.80	0.0004145061175692496	0	1	387.1544907871964	386.99407937383285	386.99407986082696
half_serum	BR:BT-549	magnitude_g1.00	magnitude_g1.00	1.2543929926170286e-09	0	1	393.09279049367456	393.0927900005817	393.0927904936745
half_serum	BR:BT-549	magnitude_g1.00	magnitude_g1.25	2.3113204812692333e-09	0	1	400.2817938815332	400.2817929563537	400.2817934566355
half_serum	BR:BT-549	magnitude_g1.00	magnitude_g2.00	0.0011278424768208777	0	0	420.0138460185017	419.54067022986254	419.54067074940326
half_serum	BR:BT-549	magnitude_g1.00	ordinal	0.16196330763663658	0	1	241.3548991228672	207.71301256815806	207.71301287587107
half_serum	BR:BT-549	magnitude_g1.25	magnitude_g0.50	0.0022157640709807368	0	1	378.01289149268143	377.17715590223855	377.17715637941575
half_serum	BR:BT-549	magnitude_g1.25	magnitude_g0.80	0.0004145072050304532	0	1	387.1544912080374	386.99407937383285	386.99407986082696
half_serum	BR:BT-549	magnitude_g1.25	magnitude_g1.00	1.378535454394928e-09	0	0	393.09279054247406	393.0927900005817	393.0927904936745
half_serum	BR:BT-549	magnitude_g1.25	magnitude_g1.25	1.2498250860158797e-09	0	0	400.2817934566359	400.2817929563537	400.2817934566355
half_serum	BR:BT-549	magnitude_g1.25	magnitude_g2.00	0.0011278380836288403	0	0	420.01384417537895	419.54067022986254	419.54067074940326
half_serum	BR:BT-549	magnitude_g1.25	ordinal	0.1619633646557014	0	1	241.35491096646894	207.71301256815806	207.71301287587107
half_serum	BR:BT-549	magnitude_g2.00	magnitude_g0.50	0.007517313276299351	0	1	380.0125147438193	377.17715590223855	377.17715637941575
half_serum	BR:BT-549	magnitude_g2.00	magnitude_g0.80	0.004146178964008649	0	1	388.5986260849285	386.99407937383285	386.99407986082696
half_serum	BR:BT-549	magnitude_g2.00	magnitude_g1.00	0.0027691534113717608	0	1	394.18132424099747	393.0927900005817	393.0927904936745
half_serum	BR:BT-549	magnitude_g2.00	magnitude_g1.25	0.0016572725263795057	0	1	400.9451689746302	400.2817929563537	400.2817934566355
half_serum	BR:BT-549	magnitude_g2.00	magnitude_g2.00	1.2383558968212013e-09	1	1	419.5406707494032	419.54067022986254	419.54067074940326
half_serum	BR:BT-549	magnitude_g2.00	ordinal	0.20611472604890324	0	1	250.52572325043636	207.71301256815806	207.71301287587107
