scenario	context	arm	recorded_optimum	recomputed	relative
half_serum	CNS:SF-295	ordinal	205.8743351092115	205.8743354150858	1.48573300610395e-09
half_serum	CNS:SF-295	magnitude_g0.80	391.4759583705011	391.47595886197695	1.255443310945162e-09
half_serum	CNS:SF-295	magnitude_g1.25	404.8634496045015	404.86345010936475	1.2469963340268008e-09
half_serum	CNS:SF-295	magnitude_g2.00	422.8870420171699	422.88704254005665	1.2364690776348752e-09
half_serum	CNS:SF-295	magnitude_g0.50	381.6875375913858	381.6875380730729	1.2619932486750886e-09
half_serum	CNS:SF-295	magnitude_g1.00	397.58248611263826	397.5824866102208	1.251520323959491e-09
lower_task	BR:BT-549	magnitude_g0.80	424.91472792248516	424.9147284474002	1.235342065512635e-09
lower_task	BR:BT-549	magnitude_g2.00	457.03872575467994	457.0387263117186	1.2187997282339971e-09
lower_task	BR:BT-549	ordinal	229.7167728233631	229.7167731530799	1.4353188407744439e-09
lower_task	BR:BT-549	magnitude_g0.50	415.6966218053546	415.69662232105134	1.2405603350399953e-09
lower_task	BR:BT-549	magnitude_g1.00	430.77619250702776	430.7761930378041	1.2321394318903486e-09
lower_task	BR:BT-549	magnitude_g1.25	437.8880280689339	437.88802860682216	1.2283693687331672e-09
lower_task	RE:TK-10	ordinal	222.63317140010005	222.63317172273295	1.449168144723148e-09
lower_task	RE:TK-10	magnitude_g2.00	461.26087953029986	461.2608800915607	1.2167969543319393e-09
lower_task	RE:TK-10	magnitude_g0.80	432.4244540476718	432.4244545800958	1.2312532084226206e-09
lower_task	RE:TK-10	magnitude_g1.00	437.8740841757037	437.8740847135781	1.2283769400890924e-09
lower_task	RE:TK-10	magnitude_g1.25	444.4178041969151	444.41780474133327	1.225014344741864e-09
lower_task	RE:TK-10	magnitude_g0.50	423.87500667734304	423.8750072012182	1.2359189286964502e-09
half_serum	PR:PC-3	magnitude_g1.00	387.5085114514004	387.5085119389088	1.2580584911539564e-09
half_serum	PR:PC-3	ordinal	187.53265790161905	187.5326581891519	1.5332415132843745e-09
half_serum	PR:PC-3	magnitude_g2.00	414.447861735252	414.4478622496999	1.2412849431905156e-09
half_serum	PR:PC-3	magnitude_g0.80	381.4414674497481	381.4414679311895	1.2621632920674985e-09
half_serum	PR:PC-3	magnitude_g0.50	372.03932156104264	372.03932203308193	1.2687887061333872e-09
half_serum	PR:PC-3	magnitude_g1.25	394.8285195153963	394.8285200102249	1.2532747443641662e-09
lower_task	CO:KM12	magnitude_g0.50	411.2649281081211	411.26492862037014	1.2455451012905496e-09
lower_task	CO:KM12	ordinal	209.72446220858208	209.72446251830655	1.4768161367991612e-09
lower_task	CO:KM12	magnitude_g0.80	420.4799212161502	420.4799217366304	1.2378240783936144e-09
lower_task	CO:KM12	magnitude_g1.00	426.31873482605687	426.3187353523755	1.2345660004169356e-09
lower_task	CO:KM12	magnitude_g1.25	433.38490160026726	433.38490213365276	1.230743159042017e-09
lower_task	CO:KM12	magnitude_g2.00	452.50604322043023	452.5060437729363	1.2209916364364435e-09
lower_task	CO:HCC-2998	magnitude_g1.00	435.3042027313278	435.3042032666325	1.229725566325435e-09
lower_task	CO:HCC-2998	magnitude_g0.50	419.81768574333364	419.8176862631512	1.2381983057915863e-09
lower_task	CO:HCC-2998	ordinal	236.58443073968618	236.58443107627045	1.422681380205275e-09
lower_task	CO:HCC-2998	magnitude_g0.80	429.3361354104188	429.3361359397545	1.2329167052148455e-09
lower_task	CO:HCC-2998	magnitude_g2.00	461.0457254858093	461.0457260468552	1.2168984995222074e-09
lower_task	CO:HCC-2998	magnitude_g1.25	442.41295988757145	442.41296042998425	1.2260328141466575e-09
primary	CNS:U251	magnitude_g1.00	980.6482790310436	980.648280111692	1.101973500673638e-09
primary	CNS:U251	ordinal	738.7823131213	738.7823139600816	1.1353569075755634e-09
primary	CNS:U251	magnitude_g2.00	1023.2064734012515	1023.206474524458	1.097732027150545e-09
primary	CNS:U251	magnitude_g0.50	955.5229781250137	955.5229791805369	1.1046550516740482e-09
primary	CNS:U251	magnitude_g1.25	992.3220456263849	992.3220467199311	1.102007350872321e-09
primary	CNS:U251	magnitude_g0.80	970.8606128315371	970.8606139023966	1.1030002776351688e-09
lower_task	CNS:SF-268	magnitude_g1.25	436.68279595690115	436.6827964935841	1.2289994882562117e-09
lower_task	CNS:SF-268	magnitude_g0.80	423.174416226564	423.1744167497387	1.236309898438086e-09
lower_task	CNS:SF-268	magnitude_g1.00	429.4580072902795	429.4580078197375	1.2328515354377509e-09
lower_task	CNS:SF-268	ordinal	220.3497531658595	220.34975348620924	1.4538238531568488e-09
lower_task	CNS:SF-268	magnitude_g2.00	455.7110928007779	455.71109335648896	1.2194371579500744e-09
lower_task	CNS:SF-268	magnitude_g0.50	412.9828559436121	412.9828564565951	1.2421410995134693e-09
half_serum	LC:A549/ATCC	ordinal	207.11665061313414	207.11665092025072	1.4828193598621217e-09
half_serum	LC:A549/ATCC	magnitude_g2.00	419.85215425676796	419.8521547766204	1.2381797826146104e-09
half_serum	LC:A549/ATCC	magnitude_g1.00	394.42545802063813	394.4254585150634	1.2535328055250267e-09
half_serum	LC:A549/ATCC	magnitude_g0.80	388.5057314883417	388.5057319768477	1.2573970874391868e-09
half_serum	LC:A549/ATCC	magnitude_g0.50	379.1421646395428	379.1421651193252	1.265442063306561e-09
half_serum	LC:A549/ATCC	magnitude_g1.25	401.24438718489967	401.24438768614385	1.2492241723462804e-09
primary	RE:TK-10	magnitude_g0.50	993.5451385049239	993.5451395984694	1.1006500502206313e-09
primary	RE:TK-10	magnitude_g1.25	1021.3955309154112	1021.395532036808	1.097906555506883e-09
primary	RE:TK-10	magnitude_g2.00	1044.9583332638526	1044.9583344088123	1.0956989005047536e-09
primary	RE:TK-10	magnitude_g1.00	1012.5351391200805	1012.5351402326153	1.098761603227133e-09
primary	RE:TK-10	ordinal	770.8490016285912	770.8490024994403	1.129727265893003e-09
primary	RE:TK-10	magnitude_g0.80	1005.1117662928713	1005.1117673979829	1.099491321723502e-09
half_serum	CO:HCC-2998	ordinal	214.32554999647982	214.32555031080543	1.4665801803499012e-09
half_serum	CO:HCC-2998	magnitude_g1.00	397.38655559857455	397.3865560959611	1.2516441704044932e-09
half_serum	CO:HCC-2998	magnitude_g0.50	381.26274997043413	381.26275045169706	1.262286782512924e-09
half_serum	CO:HCC-2998	magnitude_g1.25	404.7390213244886	404.7390218292274	1.2470722628686467e-09
half_serum	CO:HCC-2998	magnitude_g2.00	423.47881126762206	423.4788117911007	1.2361389693627204e-09
half_serum	CO:HCC-2998	magnitude_g0.80	391.1613829469233	391.1613834380849	1.2556494773817093e-09
half_serum	CO:COLO 205	magnitude_g2.00	428.91119876202833	428.9111992909395	1.233148466103097e-09
