arm	exchange_id	profiles	location_spread	mean_width	max_width	constant_across_profiles	all_fixed_within_profile
magnitude_g0.50	EX_2pg_e	47	1.5462843651594352e-09	9.168393589132539e-10	3.0988663048308445e-09	True	True
magnitude_g0.50	EX_34hpp_e	47	1.1438218182554324e-08	6.806608427645322e-09	2.2914174959320944e-08	True	True
magnitude_g0.50	EX_3hanthrn_e	47	2.016845531564735e-09	1.2748252391873816e-09	3.888092409065499e-09	True	True
magnitude_g0.50	EX_3pg_e	47	1.6259233445853534e-09	9.489868626567508e-10	3.2571537903585346e-09	True	True
magnitude_g0.50	EX_4abut_e	47	4.8848689567847645e-09	3.118405609831107e-09	9.789616752072205e-09	True	True
magnitude_g0.50	EX_4hbz_e	47	1.0454964765682944e-09	7.294529384300058e-10	2.2484627480213144e-09	True	True
magnitude_g0.50	EX_L2aadp_e	47	1.6091978206483818e-09	9.53144026905774e-10	3.2241389165405997e-09	True	True
magnitude_g0.50	EX_Lkynr_e	47	4.042399743212984e-09	2.4692889310802733e-09	8.102089893517668e-09	True	True
magnitude_g0.50	EX_acac_e	47	2.677609416578723e-08	1.4684964344617627e-08	5.368308401751759e-08	True	True
magnitude_g0.50	EX_ade_e	47	2.0102195274476606e-10	1.1812653082733763e-10	4.0273009564358356e-10	True	True
magnitude_g0.50	EX_adn_e	47	1.6362627780123575e-10	9.552200895769782e-11	3.2780991016410523e-10	True	True
magnitude_g0.50	EX_ahcys_e	47	1.4406411323038514e-10	8.514460730818796e-11	2.88656354290912e-10	True	True
magnitude_g0.50	EX_akg_e	47	3.837738541746778e-08	1.8012038743499185e-08	7.692148903049233e-08	True	True
magnitude_g0.50	EX_ala__L_e	47	0.11928821612691465	3.0988203262045606e-07	3.532494481817139e-06	False	True
magnitude_g0.50	EX_amp_e	47	1.6407507585713385e-10	9.628948321968577e-11	3.287155879552574e-10	True	True
magnitude_g0.50	EX_anth_e	47	3.069043530561234e-09	1.8406260913149161e-09	6.151135004934055e-09	True	True
magnitude_g0.50	EX_arg__L_e	47	2.175844482366074e-08	1.4643852435623034e-08	4.670980235932376e-08	True	True
magnitude_g0.50	EX_asn__L_e	47	3.8541603801295055	4.874083478655296e-07	4.1828198633631075e-06	False	True
magnitude_g0.50	EX_asp__L_e	47	1.0631949229025186	1.7313198259112376e-07	9.116542520552452e-07	False	True
magnitude_g0.50	EX_bilirub_e	47	6.871108395030734e-10	1.8789273785377336e-10	7.169175779428507e-10	True	True
magnitude_g0.50	EX_cala_e	47	4.664222596898593e-10	3.0552760800142983e-10	9.347617152871223e-10	True	True
magnitude_g0.50	EX_chol_e	47	0.03976269693029133	9.84427272866588e-08	1.1775261513080615e-06	False	True
magnitude_g0.50	EX_cholp_e	47	1.1410447172642626e-09	6.731234335648935e-10	2.286297196757538e-09	True	True
magnitude_g0.50	EX_cit_e	47	1.2292656198722143	2.0444291764965753e-07	2.2115109312714765e-06	False	True
magnitude_g0.50	EX_citr__L_e	47	7.600909276361225e-09	4.730086323376034e-09	1.5321468753276712e-08	True	True
magnitude_g0.50	EX_cmp_e	47	3.0531057021938764e-10	1.773950135844297e-10	6.117172224728981e-10	True	True
magnitude_g0.50	EX_crn_e	47	8.228901221413997e-09	4.1239548462530454e-09	1.649232170415167e-08	True	True
magnitude_g0.50	EX_cyst__L_e	47	6.507531913164739e-10	3.887934171874894e-10	1.3038074910180644e-09	True	True
magnitude_g0.50	EX_cytd_e	47	3.0890534368621966e-10	1.8011975925886565e-10	6.18951947477092e-10	True	True
magnitude_g0.50	EX_dad_2_e	47	1.7074277099210386e-10	9.90808836217594e-11	3.420841330114896e-10	True	True
magnitude_g0.50	EX_dcmp_e	47	2.4501962449312e-10	1.4302588009379452e-10	4.908876113098268e-10	True	True
magnitude_g0.50	EX_dcyt_e	47	2.8382624869860453e-10	1.6432550576405823e-10	5.686547261157148e-10	True	True
magnitude_g0.50	EX_dhap_e	47	8.936593168056893e-10	5.237744751441985e-10	1.7903828357506828e-09	True	True
magnitude_g0.50	EX_dmgly_e	47	1.0905673027683161e-09	6.471362310280703e-10	2.1854086777311963e-09	True	True
magnitude_g0.50	EX_duri_e	47	3.0367142701486167e-10	1.8159728933696043e-10	6.084472358369136e-10	True	True
magnitude_g0.50	EX_ethamp_e	47	1.350471894263978e-09	8.356631344940724e-10	2.706451668963883e-09	True	True
magnitude_g0.50	EX_fol_e	47	6.715359685819569e-08	2.6899000281453502e-08	1.3443860704014667e-07	True	True
magnitude_g0.50	EX_fum_e	47	0.2950738033908025	1.7492521264033366e-07	2.485177167915742e-06	False	True
magnitude_g0.50	EX_g3pc_e	47	8.381012167046851e-10	5.050014251088926e-10	1.6793548443642405e-09	True	True
magnitude_g0.50	EX_glc__D_e	47	1.7668728702346925e-09	1.0256649997405049e-09	3.539275539310438e-09	True	True
magnitude_g0.50	EX_glcur_e	47	3.5343267502212674e-09	2.091561971297586e-09	7.0815445991521835e-09	True	True
magnitude_g0.50	EX_gln__L_e	47	5.2779472462040165	3.363655317682823e-07	4.732193551459929e-06	False	True
magnitude_g0.50	EX_glu__L_e	47	4.991335048325707	7.474871963761464e-07	4.113618548018394e-06	False	True
magnitude_g0.50	EX_gly_e	47	0.19578612941769735	2.834133792946011e-07	2.9714723411844446e-06	False	True
magnitude_g0.50	EX_glyald_e	47	2.617265612695573e-09	1.5568142662526482e-09	5.24654324681031e-09	True	True
magnitude_g0.50	EX_glyb_e	47	4.9288525348366056e-09	2.943226557276221e-09	9.87604261565867e-09	True	True
magnitude_g0.50	EX_glyc3p_e	47	8.517909377756916e-10	5.133656835347075e-10	1.7068538223025331e-09	True	True
magnitude_g0.50	EX_gmp_e	47	2.0812544883661486e-10	1.1923735202792775e-10	4.169396229713381e-10	True	True
magnitude_g0.50	EX_gthox_e	47	9.683875060266003e-09	5.899836441727643e-09	1.9406776572381906e-08	True	True
magnitude_g0.50	EX_hcys__L_e	47	8.029425250171051e-10	5.541882327285495e-10	1.6093906343078506e-09	True	True
magnitude_g0.50	EX_hom__L_e	47	6.646328697185565e-16	-2.828224977525772e-17	6.6272573492805485e-34	True	True
magnitude_g0.50	EX_hxan_e	47	2.8281289576562344e-10	1.5767047257229168e-10	5.666037397591374e-10	True	True
magnitude_g0.50	EX_icit_e	47	3.958127101302393e-08	2.0003915279087874e-08	7.925909969504674e-08	True	True
magnitude_g0.50	EX_ile__L_e	47	1.8799013234982453e-08	1.1121356625219179e-08	3.7690600585005285e-08	True	True
magnitude_g0.50	EX_imp_e	47	1.7831735935974084e-10	1.0397279230582557e-10	3.5724635257732047e-10	True	True
magnitude_g0.50	EX_ins_e	47	1.9961171535854615e-10	1.0829682389489832e-10	3.998217703319421e-10	True	True
magnitude_g0.50	EX_lac__L_e	47	7.7523382445939575	1.4882589613640168e-06	1.4531556615793306e-05	False	False
magnitude_g0.50	EX_lcts_e	47	5.066106482101301e-10	4.0714765064051207e-10	1.0164839892262374e-09	True	True
magnitude_g0.50	EX_leu__L_e	47	1.880641198326316e-08	1.1290419098459925e-08	3.768081280330904e-08	True	True
magnitude_g0.50	EX_lys__L_e	47	2.2530433296807928e-08	1.4198605539532955e-08	4.515584228759195e-08	True	True
magnitude_g0.50	EX_mal__L_e	47	4.149233711294362	6.853427861990246e-07	5.111304713367737e-06	False	True
magnitude_g0.50	EX_met__L_e	47	1.8796371792362265e-08	1.1124870608649656e-08	3.769308903889268e-08	True	True
magnitude_g0.50	EX_nac_e	47	3.63188151508006e-09	2.1317184042555606e-09	7.276262543209536e-09	True	True
magnitude_g0.50	EX_ncam_e	47	1.646389286599712e-08	1.0190870031143243e-08	3.2993990736261864e-08	True	True
magnitude_g0.50	EX_nicrnt_e	47	4.6299289461683117e-10	2.718263030357095e-10	9.276607323723454e-10	True	True
magnitude_g0.50	EX_orn_e	47	9.9176693610866e-09	5.687582404055336e-09	1.9866934445483463e-08	True	True
magnitude_g0.50	EX_orot5p_e	47	2.7654866190731013e-10	1.6121367222745513e-10	5.540582096228128e-10	True	True
magnitude_g0.50	EX_orot_e	47	5.866205883472264e-10	3.434272613969944e-10	1.1753476428476616e-09	True	True
magnitude_g0.50	EX_oxa_e	47	2.0203619961522106e-09	1.2133162189019136e-09	4.048073615098594e-09	True	True
magnitude_g0.50	EX_pep_e	47	1.3801652253071894e-09	8.247947165450567e-10	2.765805027819353e-09	True	True
magnitude_g0.50	EX_phe__L_e	47	2.0660211763612324e-08	1.27574695842808e-08	4.1408499462658455e-08	True	True
magnitude_g0.50	EX_pnto__R_e	47	1.3753418174523238e-08	8.763983201836268e-09	2.9849914788948435e-08	True	True
magnitude_g0.50	EX_pro__L_e	47	1.586094389161019e-08	1.295651977432301e-08	4.392492625182598e-08	True	True
magnitude_g0.50	EX_quln_e	47	1.1690747037359927e-09	7.694372444521179e-10	2.3467471902893077e-09	True	True
magnitude_g0.50	EX_sbt__D_e	47	2.927056379350791e-10	6.337324722939113e-11	5.854112758701582e-10	True	True
magnitude_g0.50	EX_ser__L_e	47	6.987267653357776e-09	4.051277781332402e-09	1.399506643906534e-08	True	True
magnitude_g0.50	EX_spmd_e	47	7.509251969952628e-10	5.017478210732276e-10	1.543689794689721e-09	True	True
magnitude_g0.50	EX_sprm_e	47	6.045990802987475e-10	2.0071811790268692e-10	1.2119662102968875e-09	True	True
magnitude_g0.50	EX_srtn_e	47	3.873669763452274e-09	2.4119343407115774e-09	7.768779644456924e-09	True	True
magnitude_g0.50	EX_succ_e	47	2.0941617078711023	4.421682493341117e-07	2.693670209552579e-06	False	True
magnitude_g0.50	EX_sucr_e	47	3.3402808529188995e-10	2.0639322215387869e-10	6.680561705837799e-10	True	True
magnitude_g0.50	EX_taur_e	47	2.2292652240692297e-09	1.4262600551649617e-09	4.469615619760067e-09	True	True
magnitude_g0.50	EX_tchola_e	47	6.685953236176869e-10	5.698596701191905e-10	1.3414065669119071e-09	True	True
magnitude_g0.50	EX_thr__L_e	47	1.8808934743042016e-08	1.1120590880777328e-08	3.768398992853861e-08	True	True
