arm	exchange_id	profiles	location_spread	mean_width	max_width	constant_across_profiles	all_fixed_within_profile
magnitude_g0.50	EX_2pg_e	47	1.868683024691944e-09	1.1555952001901636e-09	3.755159330707261e-09	True	True
magnitude_g0.50	EX_34hpp_e	47	1.4221896967306016e-08	9.223624563315928e-09	2.8567374665310052e-08	True	True
magnitude_g0.50	EX_3hanthrn_e	47	2.560976542588395e-09	1.6212318215154346e-09	4.918172037873217e-09	True	True
magnitude_g0.50	EX_3pg_e	47	1.9688228158961617e-09	1.1994861690714923e-09	3.953362229833302e-09	True	True
magnitude_g0.50	EX_4abut_e	47	6.027037363068409e-09	4.002482901165782e-09	1.2107391316785815e-08	True	True
magnitude_g0.50	EX_4hbz_e	47	1.1984003273636626e-09	9.090370526180003e-10	2.7178730919975996e-09	True	True
magnitude_g0.50	EX_L2aadp_e	47	1.985718545554428e-09	1.233238898137892e-09	3.9892829736239294e-09	True	True
magnitude_g0.50	EX_Lkynr_e	47	4.914813915276763e-09	3.2060513902506737e-09	9.87051622412358e-09	True	True
magnitude_g0.50	EX_acac_e	47	1.6913656534783193e-08	6.859210664627513e-09	3.390355794958073e-08	True	True
magnitude_g0.50	EX_ade_e	47	2.4921907067621047e-10	1.5615788224845451e-10	5.005260790230193e-10	True	True
magnitude_g0.50	EX_adn_e	47	1.932458197246199e-10	1.217688309926371e-10	3.880971066794763e-10	True	True
magnitude_g0.50	EX_ahcys_e	47	1.8839582842015728e-10	1.1340081007650657e-10	3.783335510534842e-10	True	True
magnitude_g0.50	EX_akg_e	47	4.8118051929728166e-08	2.603075115927434e-08	9.67235159233537e-08	True	True
magnitude_g0.50	EX_ala__L_e	47	0.13254243758984785	2.049438406593955e-07	2.12703905688727e-06	False	True
magnitude_g0.50	EX_amp_e	47	1.9720302263548505e-10	1.223857845173627e-10	3.95995552911614e-10	True	True
magnitude_g0.50	EX_anth_e	47	3.508426597152811e-09	2.3296259537549784e-09	7.0467713509249336e-09	True	True
magnitude_g0.50	EX_arg__L_e	47	2.7693386139837628e-08	1.8958720305246072e-08	5.943605130287466e-08	True	True
magnitude_g0.50	EX_asn__L_e	47	5.556388130871694	5.458603585924297e-07	7.859108729579845e-06	False	True
magnitude_g0.50	EX_asp__L_e	47	1.1812992914140943	2.0539754987900953e-07	1.6933716125849818e-06	False	True
magnitude_g0.50	EX_bilirub_e	47	4.5318346182372644e-10	1.7892511424578807e-10	7.628980824098915e-10	True	True
magnitude_g0.50	EX_cala_e	47	5.795939194072332e-10	3.940641768190355e-10	1.1645307579174857e-09	True	True
magnitude_g0.50	EX_chol_e	47	0.04418077614157989	6.67931198577171e-08	7.12422193016593e-07	False	True
magnitude_g0.50	EX_cholp_e	47	1.4190258354075326e-09	8.658630510218781e-10	2.8490997907514466e-09	True	True
magnitude_g0.50	EX_cit_e	47	2.7812790368521387	2.592719883278312e-07	4.5092260331225376e-06	False	True
magnitude_g0.50	EX_citr__L_e	47	8.871905654256439e-09	5.751772746105414e-09	1.7659584746603805e-08	True	True
magnitude_g0.50	EX_cmp_e	47	3.560004737495343e-10	2.356017904370298e-10	7.150740994451962e-10	True	True
magnitude_g0.50	EX_crn_e	47	9.266620491411165e-09	4.938962321145949e-09	1.859564397273426e-08	True	True
magnitude_g0.50	EX_cyst__L_e	47	8.095338911799522e-10	5.077826138956353e-10	1.6256150172967688e-09	True	True
magnitude_g0.50	EX_cytd_e	47	3.650296916516572e-10	2.334623182066685e-10	7.331810851244913e-10	True	True
magnitude_g0.50	EX_dad_2_e	47	2.0629917855892517e-10	1.2793122765289408e-10	4.1425650288634453e-10	True	True
magnitude_g0.50	EX_dcmp_e	47	2.9621386578316406e-10	1.85607004278389e-10	5.949129390615631e-10	True	True
magnitude_g0.50	EX_dcyt_e	47	3.4169819130263707e-10	2.1406342081347536e-10	6.860900373597834e-10	True	True
magnitude_g0.50	EX_dhap_e	47	1.0805162096837992e-09	6.663604602446874e-10	2.1694446058710783e-09	True	True
magnitude_g0.50	EX_dmgly_e	47	1.2988977210111964e-09	8.220063910721618e-10	2.6116635605036887e-09	True	True
magnitude_g0.50	EX_duri_e	47	3.65421743871329e-10	2.355121977275299e-10	7.338491211075762e-10	True	True
magnitude_g0.50	EX_ethamp_e	47	1.845420229084023e-09	1.1207138548560667e-09	3.704395714797475e-09	True	True
magnitude_g0.50	EX_fol_e	47	3.99636444165727e-08	1.870880135528891e-08	8.033988872695545e-08	True	True
magnitude_g0.50	EX_fum_e	47	0.3278597844187945	6.003275973682042e-07	1.964325304301684e-05	False	False
magnitude_g0.50	EX_g3pc_e	47	1.032504844528065e-09	6.428209787752858e-10	2.0736981282118557e-09	True	True
magnitude_g0.50	EX_glc__D_e	47	2.115390529411343e-09	1.2623981481912314e-09	4.246661688966924e-09	True	True
magnitude_g0.50	EX_glcur_e	47	4.604253154818364e-09	2.794368562778882e-09	9.242797866749052e-09	True	True
magnitude_g0.50	EX_gln__L_e	47	5.512140159974086	5.072491199085717e-07	9.817038415071977e-06	False	True
magnitude_g0.50	EX_glu__L_e	47	5.440083987071041	4.816711718086042e-07	4.083261263332361e-06	False	True
magnitude_g0.50	EX_gly_e	47	0.21754016787846941	3.3429114363892773e-07	4.956190582605657e-06	False	True
magnitude_g0.50	EX_glyald_e	47	3.1062534262920288e-09	1.936163874485123e-09	6.247606423496318e-09	True	True
magnitude_g0.50	EX_glyb_e	47	6.145758133846838e-09	3.6962486153659456e-09	1.2348541689448623e-08	True	True
magnitude_g0.50	EX_glyc3p_e	47	1.0309962594786685e-09	6.466749414191499e-10	2.0709435446716e-09	True	True
magnitude_g0.50	EX_gmp_e	47	2.4720988944574504e-10	1.5097561725870213e-10	4.964709087816883e-10	True	True
magnitude_g0.50	EX_gthox_e	47	5.759460974099007e-09	3.95398270355386e-09	1.1574971792176685e-08	True	True
magnitude_g0.50	EX_hcys__L_e	47	1.0119225232458404e-09	6.629518164912967e-10	2.032746135144621e-09	True	True
magnitude_g0.50	EX_hom__L_e	47	0.0	0.0	0.0	True	True
magnitude_g0.50	EX_hxan_e	47	3.070983225946959e-10	1.960919958002561e-10	6.169708615776368e-10	True	True
magnitude_g0.50	EX_icit_e	47	4.561187863164832e-08	2.598136313120701e-08	9.151005068776518e-08	True	True
magnitude_g0.50	EX_ile__L_e	47	2.4931131714645005e-08	1.4355083545026862e-08	5.013789805552449e-08	True	True
magnitude_g0.50	EX_imp_e	47	2.131844557277317e-10	1.3294375285511856e-10	4.281105525627277e-10	True	True
magnitude_g0.50	EX_ins_e	47	2.187126642292603e-10	1.352439471588115e-10	4.3942118548403376e-10	True	True
magnitude_g0.50	EX_lac__L_e	47	7.700909356343006	1.2120892224850364e-06	1.6900844691747352e-05	False	False
magnitude_g0.50	EX_lcts_e	47	6.365639809416229e-10	4.645387129033679e-10	1.2815870847943075e-09	True	True
magnitude_g0.50	EX_leu__L_e	47	2.4976579915403363e-08	1.4476407254970555e-08	5.013468262760057e-08	True	True
magnitude_g0.50	EX_lys__L_e	47	2.863181558510064e-08	1.837407681323493e-08	5.754373821886816e-08	True	True
magnitude_g0.50	EX_mal__L_e	47	5.529992046646172	1.0612939778568574e-06	1.7312203194563835e-05	False	False
magnitude_g0.50	EX_met__L_e	47	2.4954741328908625e-08	1.4353714643580766e-08	5.013395221187267e-08	True	True
magnitude_g0.50	EX_nac_e	47	4.1831180473492465e-09	2.6752504193879286e-09	8.40619622042974e-09	True	True
magnitude_g0.50	EX_ncam_e	47	2.0062711675470036e-08	1.3176127560225847e-08	4.0304235066106925e-08	True	True
magnitude_g0.50	EX_nicrnt_e	47	5.599262379363109e-10	3.506207657825459e-10	1.1243072476238513e-09	True	True
magnitude_g0.50	EX_orn_e	47	1.4272955762080524e-08	7.477354626969524e-09	2.8639389064516456e-08	True	True
magnitude_g0.50	EX_orot5p_e	47	3.235788443444164e-10	2.073336355288103e-10	6.498318403079382e-10	True	True
