arm	exchange_id	profiles	location_spread	mean_width	max_width	constant_across_profiles	all_fixed_within_profile
magnitude_g0.50	EX_2pg_e	47	3.822960899031778e-09	2.2265704504670736e-09	7.711087610494738e-09	True	True
magnitude_g0.50	EX_34hpp_e	47	5.620155252884169e-08	3.354647827853983e-08	1.1352508988720798e-07	True	True
magnitude_g0.50	EX_3hanthrn_e	47	1.3629294216149468e-09	8.798923648117123e-10	2.44290306759532e-09	True	True
magnitude_g0.50	EX_3pg_e	47	3.9527817434726365e-09	2.289034427658914e-09	7.965465222762497e-09	True	True
magnitude_g0.50	EX_4abut_e	47	1.8383286625564558e-08	1.0204242694482716e-08	3.6982908249150266e-08	True	True
magnitude_g0.50	EX_4hbz_e	47	2.2176388399320178e-09	1.6573588429873112e-09	5.289918004088422e-09	True	True
magnitude_g0.50	EX_L2aadp_e	47	6.258442295226842e-09	3.6436394388103336e-09	1.2608856467811183e-08	True	True
magnitude_g0.50	EX_Lkynr_e	47	2.5367998711981854e-09	1.5399178962431532e-09	5.124607644021492e-09	True	True
magnitude_g0.50	EX_acac_e	47	0.028722694588859298	2.9518631334846687e-07	2.2745482624736413e-06	False	True
magnitude_g0.50	EX_ade_e	47	5.058390928710594e-10	3.174417564414717e-10	1.0204724747671905e-09	True	True
magnitude_g0.50	EX_adn_e	47	3.977156216843117e-10	2.456657158886295e-10	8.021223455865466e-10	True	True
magnitude_g0.50	EX_ahcys_e	47	3.748784189859119e-10	2.2344128848701334e-10	7.558942022678004e-10	True	True
magnitude_g0.50	EX_akg_e	47	5.545990867687236e-08	3.059215932513768e-08	1.1200105927939015e-07	True	True
magnitude_g0.50	EX_ala__L_e	47	0.8407355050571894	4.2998802895571304e-07	3.265837165145058e-06	False	True
magnitude_g0.50	EX_amp_e	47	3.6771984141987843e-10	2.41630546719849e-10	7.422166742985598e-10	True	True
magnitude_g0.50	EX_anth_e	47	2.2173579355574104e-09	1.3537943411286816e-09	4.477744540099826e-09	True	True
magnitude_g0.50	EX_arg__L_e	47	0.29024335702789594	0.012370130794309833	0.5804867227557295	False	False
magnitude_g0.50	EX_asn__L_e	47	1.331286583194924e-07	7.034234411027556e-08	2.680471258287298e-07	True	True
magnitude_g0.50	EX_asp__L_e	47	4.3533219251656874e-08	7.851512299891251e-08	2.514015453591867e-07	True	True
magnitude_g0.50	EX_bilirub_e	47	3.6780777118864343e-10	2.279223471780744e-10	7.41250195974795e-10	True	True
magnitude_g0.50	EX_cala_e	47	1.24654968333433e-09	7.757845690803717e-10	2.5167798152055752e-09	True	True
magnitude_g0.50	EX_chol_e	47	5.693590221511613e-08	3.734893645421174e-08	1.442206474244756e-07	True	True
magnitude_g0.50	EX_cholp_e	47	3.374782191144515e-09	2.002906290452929e-09	6.80267969638394e-09	True	True
magnitude_g0.50	EX_cit_e	47	9.199846112235963e-08	5.9471960468360845e-08	1.8609659551384035e-07	True	True
magnitude_g0.50	EX_citr__L_e	47	1.68875463418229e-08	1.004473325950491e-08	3.407436450561407e-08	True	True
magnitude_g0.50	EX_cmp_e	47	3.6689562534894226e-10	2.1792501251117746e-10	7.337912506978845e-10	True	True
magnitude_g0.50	EX_crn_e	47	8.208980883026289e-07	1.0673330851466558e-07	1.642570882196624e-06	True	True
magnitude_g0.50	EX_cyst__L_e	47	1.5702422519292057e-09	9.427183144703263e-10	3.1675888803312037e-09	True	True
magnitude_g0.50	EX_cytd_e	47	7.693915286378654e-10	4.697416848853764e-10	1.5524879424769138e-09	True	True
magnitude_g0.50	EX_dad_2_e	47	4.114905541854619e-10	2.590631739605275e-10	8.300088898599188e-10	True	True
magnitude_g0.50	EX_dcmp_e	47	6.630410841390598e-10	3.9731786730698954e-10	1.3371276358088255e-09	True	True
magnitude_g0.50	EX_dcyt_e	47	7.869632622416949e-10	4.71389417419965e-10	1.5870117469748223e-09	True	True
magnitude_g0.50	EX_dhap_e	47	2.2183439269232988e-09	1.3025327367921268e-09	4.471338812065734e-09	True	True
magnitude_g0.50	EX_dmgly_e	47	1.958904346870894e-09	1.1969431624366597e-09	3.958664031010337e-09	True	True
magnitude_g0.50	EX_duri_e	47	7.78997543773727e-10	4.724619153214017e-10	1.5716474721352424e-09	True	True
magnitude_g0.50	EX_ethamp_e	47	1.3982220470134037e-08	6.926796979404514e-09	2.8098782923452113e-08	True	True
