panel	arm	macro_point_operational	macro_interval_operational	eligible_pairs	failed_point_pairs	failed_range_pairs	resolved_interval_pairs	resolved_accuracy_pooled	fixed_target_count
primary	magnitude_g0.50	0.4980963454586572	0.4980963454586572	46447	0	0	7197	0.4889537307211338	52
primary	magnitude_g0.80	0.497684544906977	0.4976631747734431	46447	0	0	6718	0.4818398332837154	52
primary	magnitude_g1.00	0.49901075032605174	0.49907359597713263	46447	0	0	6107	0.4925495333224169	52
primary	magnitude_g1.25	0.5015717262763477	0.501708018329548	46447	0	0	5143	0.5152634649037526	52
primary	magnitude_g2.00	0.5012911577195054	0.5014461180240329	46447	0	0	5057	0.514929800276844	52
primary	ordinal	0.5028094853530978	0.5028094853530978	46447	0	0	5754	0.5208550573514077	52
primary	uniform_pfba	0.5	0.5	46447	0	0	0		52
broader_chemistry	magnitude_g0.50	0.49956355159700927	0.49956355159700927	70553	0	0	7802	0.4930786977698026	94
broader_chemistry	magnitude_g0.80	0.4982390891908861	0.4982272674148886	70553	0	0	7123	0.48027516495858485	94
broader_chemistry	magnitude_g1.00	0.49870029052805975	0.4987350562073811	70553	0	0	6509	0.4885543094177293	94
broader_chemistry	magnitude_g1.25	0.5014143540272894	0.5014897496311874	70553	0	0	5505	0.5180744777475023	94
broader_chemistry	magnitude_g2.00	0.5006234427239193	0.5006961919115823	70553	0	0	5399	0.513243193183923	94
broader_chemistry	ordinal	0.49984279486576444	0.49984279486576444	70553	0	0	6183	0.5081675562024907	94
broader_chemistry	uniform_pfba	0.5	0.5	70553	0	0	0		94
