panel	arm	macro_point_operational	macro_interval_operational	eligible_pairs	failed_point_pairs	failed_range_pairs	resolved_interval_pairs	resolved_accuracy_pooled	fixed_target_count
primary	magnitude_g0.50	0.5084908165335077	0.5085234110576278	46447	0	0	4583	0.5856425921885228	52
primary	magnitude_g0.80	0.5075282514352474	0.507517490299569	46447	0	0	4845	0.5721362229102167	52
primary	magnitude_g1.00	0.5077547337268987	0.5077780290529519	46447	0	0	4951	0.5730155524136538	52
primary	magnitude_g1.25	0.5050693366841632	0.5050703302974033	46447	0	0	4858	0.5483738163853438	52
primary	magnitude_g2.00	0.5045247290787626	0.5045799216238822	46447	0	0	5031	0.5416418207115882	52
primary	ordinal	0.505422797461303	0.5053774952958595	46447	0	0	6470	0.5397217928902628	52
primary	uniform_pfba	0.5	0.5	46447	0	0	0		52
broader_chemistry	magnitude_g0.50	0.5039414479173754	0.5037927344499606	70553	0	0	4878	0.5699056990569906	94
broader_chemistry	magnitude_g0.80	0.5035914576676682	0.503585504698995	70553	0	0	5003	0.5634619228462923	94
broader_chemistry	magnitude_g1.00	0.5041376211647762	0.5041505079408908	70553	0	0	5076	0.5695429472025216	94
broader_chemistry	magnitude_g1.25	0.5028043139103882	0.5028048635687763	70553	0	0	4858	0.5483738163853438	94
broader_chemistry	magnitude_g2.00	0.5025030416180389	0.5025335736642752	70553	0	0	5031	0.5416418207115882	94
broader_chemistry	ordinal	0.5023838967459263	0.5025089060062353	70553	0	0	7846	0.5332653581442773	94
broader_chemistry	uniform_pfba	0.5	0.5	70553	0	0	0		94
